high,time,low,volume,open,close
2380.8000,2020-04-27 16:00:00,2376.7300,48382,2377.3500,2376.9900
2377.7600,2020-04-27 15:59:00,2375.1599,39156,2375.6699,2376.9551
2378.2500,2020-04-27 15:58:00,2375.6499,19837,2378.2500,2375.9600
2379.1799,2020-04-27 15:57:00,2375.7600,25169,2378.0000,2378.5671
2381.9900,2020-04-27 15:56:00,2378.0701,19765,2381.0100,2378.0750
2386.9299,2020-04-27 15:55:00,2381.9500,25970,2385.6001,2382.0784
2385.8501,2020-04-27 15:54:00,2383.6299,15543,2383.9700,2385.6599
2387.0872,2020-04-27 15:53:00,2383.2400,17895,2386.8999,2383.8459
2388.5808,2020-04-27 15:52:00,2385.8701,20640,2385.9900,2386.4500
2388.6799,2020-04-27 15:51:00,2381.3501,24448,2385.6899,2385.0701
2384.5720,2020-04-27 15:50:00,2382.1899,13962,2383.2878,2383.9900
2384.6875,2020-04-27 15:49:00,2382.3401,9757,2383.1074,2383.0801
2384.3401,2020-04-27 15:48:00,2381.3501,10999,2383.6799,2382.5750
2388.2100,2020-04-27 15:47:00,2383.0200,15623,2387.9600,2383.1326
2390.4299,2020-04-27 15:46:00,2386.4900,12086,2390.4250,2387.9299
2390.9651,2020-04-27 15:45:00,2387.5000,14427,2388.0500,2390.3472
2389.8899,2020-04-27 15:44:00,2387.0000,15597,2387.9900,2388.0149
2388.0000,2020-04-27 15:43:00,2386.1899,18755,2386.8601,2387.6001
2387.1201,2020-04-27 15:42:00,2383.7800,15793,2383.8101,2386.5273
2383.8101,2020-04-27 15:41:00,2382.1001,6454,2382.6499,2383.8101
2384.3499,2020-04-27 15:40:00,2382.5801,9640,2383.8000,2382.6499
2384.3411,2020-04-27 15:39:00,2380.9070,18306,2380.9070,2384.1499
2381.8081,2020-04-27 15:38:00,2380.0071,6140,2381.6699,2381.5701
2381.9900,2020-04-27 15:37:00,2381.0027,6187,2381.6101,2381.4004
2381.8948,2020-04-27 15:36:00,2378.7549,8263,2379.3760,2381.8000
2379.6899,2020-04-27 15:35:00,2378.6101,6523,2379.4199,2379.4370
2379.9700,2020-04-27 15:34:00,2377.0000,9104,2377.1799,2378.9451
2379.4700,2020-04-27 15:33:00,2377.6101,4265,2378.5601,2377.6101
2379.7900,2020-04-27 15:32:00,2379.0801,5961,2379.1150,2379.2046
2379.8101,2020-04-27 15:31:00,2377.5000,10292,2378.8201,2379.3799
2379.9399,2020-04-27 15:30:00,2378.0000,7112,2378.8999,2379.5500
2380.6299,2020-04-27 15:29:00,2379.0500,6425,2380.4475,2379.3799
2381.6279,2020-04-27 15:28:00,2379.1799,6930,2380.4500,2380.0000
2382.4700,2020-04-27 15:27:00,2380.7500,8379,2381.9500,2380.7500
2382.0500,2020-04-27 15:26:00,2380.7952,6416,2381.8701,2381.2300
2383.7100,2020-04-27 15:25:00,2381.2705,12390,2381.3750,2382.2068
2381.8999,2020-04-27 15:24:00,2379.4500,10637,2379.5000,2380.7600
2379.8599,2020-04-27 15:23:00,2376.4453,9350,2376.5200,2379.8599
2377.6472,2020-04-27 15:22:00,2376.3008,5640,2377.6472,2376.5200
2377.6101,2020-04-27 15:21:00,2376.4150,6292,2376.6001,2377.0000
2376.8000,2020-04-27 15:20:00,2375.3999,5372,2375.3999,2376.3501
2376.0300,2020-04-27 15:19:00,2375.3899,4234,2376.0300,2376.0120
2376.0000,2020-04-27 15:18:00,2374.6101,6719,2374.9800,2375.6699
2375.3958,2020-04-27 15:17:00,2374.5500,4135,2375.1826,2375.0076
2376.2227,2020-04-27 15:16:00,2375.0000,5186,2376.1799,2376.0000
2377.4700,2020-04-27 15:15:00,2376.0400,4180,2376.9800,2377.4099
2377.2000,2020-04-27 15:14:00,2376.7451,2224,2376.7600,2376.7451
2377.0540,2020-04-27 15:13:00,2376.3899,3861,2377.0540,2377.0000
2377.9387,2020-04-27 15:12:00,2376.4651,3445,2376.4651,2376.8450
2376.1499,2020-04-27 15:11:00,2374.0000,16395,2375.8450,2375.7300
2377.1799,2020-04-27 15:10:00,2375.8049,4729,2376.7246,2376.0598
2377.3101,2020-04-27 15:09:00,2376.3679,4896,2376.7251,2377.0701
2377.3179,2020-04-27 15:08:00,2375.2000,4580,2375.3401,2377.3179
2378.3330,2020-04-27 15:07:00,2374.2314,8889,2378.3330,2375.6545
2379.2100,2020-04-27 15:06:00,2377.3601,5983,2378.6797,2377.3601
2379.3301,2020-04-27 15:05:00,2378.0000,9627,2378.8501,2378.9341
2379.0701,2020-04-27 15:04:00,2378.2200,4823,2378.6213,2379.0000
2378.3000,2020-04-27 15:03:00,2375.6699,8220,2377.6150,2378.1599
2378.8501,2020-04-27 15:02:00,2377.4700,4691,2378.2500,2377.6050
2379.8301,2020-04-27 15:01:00,2377.2202,5836,2379.5701,2378.0200
2381.6500,2020-04-27 15:00:00,2379.5200,4923,2380.3400,2379.8100
2381.0801,2020-04-27 14:59:00,2379.2900,3618,2379.5359,2380.0701
2381.4768,2020-04-27 14:58:00,2379.0000,8112,2379.6299,2380.3169
2379.9575,2020-04-27 14:57:00,2377.3799,10948,2377.7100,2379.8899
2377.9500,2020-04-27 14:56:00,2375.2000,9137,2376.0200,2377.1101
2379.9778,2020-04-27 14:55:00,2375.6350,10832,2379.9778,2376.8101
2381.4751,2020-04-27 14:54:00,2379.2900,9242,2381.3501,2380.0850
2382.3044,2020-04-27 14:53:00,2380.4099,6489,2382.3044,2380.8999
2383.6899,2020-04-27 14:52:00,2381.3601,8352,2383.0901,2382.0000
2384.8000,2020-04-27 14:51:00,2383.0000,7309,2384.1499,2383.0000
2384.6399,2020-04-27 14:50:00,2382.0000,8023,2382.6499,2384.1699
2383.1499,2020-04-27 14:49:00,2380.5000,11057,2381.3201,2381.6599
2383.7600,2020-04-27 14:48:00,2380.4702,6589,2383.7600,2381.9500
2384.1201,2020-04-27 14:47:00,2383.0300,50737,2383.9016,2383.5901
2384.7998,2020-04-27 14:46:00,2382.3601,11513,2382.8230,2383.2000
2383.0989,2020-04-27 14:45:00,2381.4600,8048,2381.4600,2383.0989
2382.0901,2020-04-27 14:44:00,2378.0000,21088,2379.5901,2382.0901
2380.0100,2020-04-27 14:43:00,2378.6799,7736,2380.0100,2379.5750
2380.1899,2020-04-27 14:42:00,2378.2600,10956,2378.4983,2380.1899
2378.9900,2020-04-27 14:41:00,2374.5000,11407,2375.0000,2378.6350
2375.1001,2020-04-27 14:40:00,2372.0000,15716,2373.6450,2374.8601
2374.7571,2020-04-27 14:39:00,2371.9900,7600,2372.0200,2374.7571
2372.5000,2020-04-27 14:38:00,2371.0300,4806,2371.1521,2371.9800
2371.7649,2020-04-27 14:37:00,2368.0000,6646,2368.0000,2371.7649
2370.3101,2020-04-27 14:36:00,2368.6001,7413,2369.0300,2369.0000
2372.0300,2020-04-27 14:35:00,2369.0000,5202,2370.0781,2369.0000
2372.0701,2020-04-27 14:34:00,2368.0000,11974,2371.1550,2368.6101
2372.9089,2020-04-27 14:33:00,2371.0000,8131,2372.1230,2371.0000
2373.0000,2020-04-27 14:32:00,2366.5801,15198,2368.0400,2372.1299
2372.8201,2020-04-27 14:31:00,2366.0300,15622,2371.3501,2366.0300
2378.6826,2020-04-27 14:30:00,2371.0000,18684,2377.8799,2371.0100
2377.9500,2020-04-27 14:29:00,2376.7900,2863,2377.0000,2377.5129
2378.5500,2020-04-27 14:28:00,2376.7585,8250,2376.9800,2377.9900
2377.8601,2020-04-27 14:27:00,2376.7900,2680,2377.0100,2377.5083
2378.3750,2020-04-27 14:26:00,2377.0000,5964,2377.5500,2377.7900
2378.8359,2020-04-27 14:25:00,2377.2000,9332,2377.2000,2378.0500
2376.9500,2020-04-27 14:24:00,2375.3650,8410,2376.1599,2376.4026
2377.0598,2020-04-27 14:23:00,2376.1101,4193,2376.4709,2376.5300
2377.9800,2020-04-27 14:22:00,2376.1799,5777,2377.7200,2376.3799
2378.4111,2020-04-27 14:21:00,2376.2000,7825,2378.0000,2377.2068
2379.6560,2020-04-27 14:20:00,2378.0000,4556,2378.8450,2378.1802
