high,time,low,volume,open,close
43.1100,2020-04-27 16:00:00,43.0500,387572,43.0650,43.0700
43.0900,2020-04-27 15:59:00,43.0500,147934,43.0801,43.0632
43.0900,2020-04-27 15:58:00,43.0500,73145,43.0850,43.0850
43.0850,2020-04-27 15:57:00,43.0500,70616,43.0600,43.0850
43.1100,2020-04-27 15:56:00,43.0550,73868,43.1050,43.0600
43.1280,2020-04-27 15:55:00,43.0900,84087,43.1200,43.1100
43.1300,2020-04-27 15:54:00,43.0600,67678,43.0750,43.1200
43.1000,2020-04-27 15:53:00,43.0602,59071,43.0985,43.0800
43.1550,2020-04-27 15:52:00,43.0900,74216,43.1450,43.0950
43.2200,2020-04-27 15:51:00,43.1000,102742,43.2100,43.1450
43.2100,2020-04-27 15:50:00,43.1700,42823,43.1743,43.2050
43.1880,2020-04-27 15:49:00,43.1550,51676,43.1880,43.1750
43.2000,2020-04-27 15:48:00,43.1800,23969,43.2000,43.1900
43.2000,2020-04-27 15:47:00,43.1700,30220,43.1750,43.1974
43.2100,2020-04-27 15:46:00,43.1650,40150,43.2100,43.1750
43.2100,2020-04-27 15:45:00,43.1900,34514,43.1950,43.2070
43.1950,2020-04-27 15:44:00,43.1650,37299,43.1663,43.1950
43.1700,2020-04-27 15:43:00,43.1300,39253,43.1350,43.1650
43.1595,2020-04-27 15:42:00,43.1300,21855,43.1550,43.1350
43.1550,2020-04-27 15:41:00,43.1100,33984,43.1150,43.1550
43.1488,2020-04-27 15:40:00,43.1100,27671,43.1488,43.1200
43.1600,2020-04-27 15:39:00,43.1300,41759,43.1399,43.1500
43.1500,2020-04-27 15:38:00,43.1300,17781,43.1370,43.1350
43.1695,2020-04-27 15:37:00,43.1300,21102,43.1695,43.1300
43.1700,2020-04-27 15:36:00,43.1250,20839,43.1250,43.1650
43.1650,2020-04-27 15:35:00,43.1200,53820,43.1650,43.1200
43.1800,2020-04-27 15:34:00,43.1450,73707,43.1500,43.1658
43.1800,2020-04-27 15:33:00,43.1400,48214,43.1750,43.1400
43.1800,2020-04-27 15:32:00,43.1200,54823,43.1200,43.1750
43.1300,2020-04-27 15:31:00,43.0950,49451,43.0950,43.1200
43.1000,2020-04-27 15:30:00,43.0900,18841,43.0950,43.0995
43.1000,2020-04-27 15:29:00,43.0800,12307,43.0900,43.0950
43.1200,2020-04-27 15:28:00,43.0800,34115,43.1100,43.0850
43.1200,2020-04-27 15:27:00,43.1100,15441,43.1150,43.1144
43.1500,2020-04-27 15:26:00,43.1100,13620,43.1500,43.1100
43.1850,2020-04-27 15:25:00,43.1420,22052,43.1700,43.1497
43.1900,2020-04-27 15:24:00,43.1600,30836,43.1650,43.1701
43.1700,2020-04-27 15:23:00,43.1348,41733,43.1350,43.1650
43.1500,2020-04-27 15:22:00,43.1200,36549,43.1250,43.1400
43.1300,2020-04-27 15:21:00,43.0900,26429,43.0900,43.1227
43.1000,2020-04-27 15:20:00,43.0519,24735,43.0550,43.0900
43.0899,2020-04-27 15:19:00,43.0550,21337,43.0834,43.0586
43.0900,2020-04-27 15:18:00,43.0700,19748,43.0800,43.0884
43.0850,2020-04-27 15:17:00,43.0700,13141,43.0718,43.0800
