high,time,low,volume,open,close
40.3300,2020-04-27 16:00:00,40.2100,10721,40.2900,40.2900
40.3700,2020-04-27 15:59:00,40.2700,10901,40.2900,40.3200
40.3200,2020-04-27 15:58:00,40.2600,10438,40.2900,40.2600
40.2900,2020-04-27 15:57:00,40.2700,6106,40.2750,40.2700
40.3500,2020-04-27 15:56:00,40.2700,9278,40.3400,40.2800
40.3900,2020-04-27 15:55:00,40.3400,16095,40.3850,40.3400
40.4000,2020-04-27 15:54:00,40.3000,14657,40.3000,40.3850
40.3100,2020-04-27 15:53:00,40.2800,7848,40.3000,40.3000
40.3050,2020-04-27 15:52:00,40.2800,14418,40.3050,40.3050
40.3300,2020-04-27 15:51:00,40.2600,25479,40.3200,40.3100
40.3300,2020-04-27 15:50:00,40.2700,24761,40.3100,40.3250
40.3400,2020-04-27 15:49:00,40.3000,14101,40.3400,40.3007
40.3750,2020-04-27 15:48:00,40.3400,10528,40.3700,40.3400
40.4000,2020-04-27 15:47:00,40.3700,12810,40.3850,40.3750
40.4250,2020-04-27 15:46:00,40.3850,12328,40.4250,40.3850
40.4300,2020-04-27 15:45:00,40.4100,60742,40.4150,40.4250
40.4300,2020-04-27 15:44:00,40.4100,4127,40.4150,40.4150
40.4250,2020-04-27 15:43:00,40.3750,12788,40.3800,40.4100
40.3900,2020-04-27 15:42:00,40.3700,7468,40.3700,40.3900
40.3800,2020-04-27 15:41:00,40.3700,11992,40.3750,40.3750
40.3900,2020-04-27 15:40:00,40.3700,3941,40.3800,40.3750
40.3900,2020-04-27 15:39:00,40.3400,11766,40.3800,40.3700
40.3900,2020-04-27 15:38:00,40.3700,5369,40.3700,40.3800
40.3850,2020-04-27 15:37:00,40.3500,16372,40.3800,40.3700
40.4100,2020-04-27 15:36:00,40.3800,12435,40.3900,40.3800
40.3700,2020-04-27 15:35:00,40.3350,5451,40.3350,40.3600
40.3400,2020-04-27 15:34:00,40.3150,4037,40.3150,40.3350
40.3350,2020-04-27 15:33:00,40.3100,3660,40.3350,40.3100
40.3400,2020-04-27 15:32:00,40.3150,4601,40.3300,40.3250
40.3200,2020-04-27 15:31:00,40.3000,3705,40.3150,40.3200
40.3200,2020-04-27 15:30:00,40.3000,8623,40.3050,40.3100
40.3050,2020-04-27 15:29:00,40.3000,1229,40.3000,40.3000
40.3800,2020-04-27 15:28:00,40.2950,18914,40.3600,40.3000
40.3650,2020-04-27 15:27:00,40.3600,645,40.3650,40.3650
40.3750,2020-04-27 15:26:00,40.3600,731,40.3750,40.3650
40.4000,2020-04-27 15:25:00,40.3700,5556,40.3750,40.3750
40.3900,2020-04-27 15:24:00,40.3750,2870,40.3800,40.3890
40.3850,2020-04-27 15:23:00,40.3800,1229,40.3850,40.3800
40.4000,2020-04-27 15:22:00,40.3650,4000,40.3700,40.3950
40.4100,2020-04-27 15:21:00,40.3700,8345,40.4000,40.3700
40.4000,2020-04-27 15:20:00,40.3750,2302,40.3750,40.4000
40.3900,2020-04-27 15:19:00,40.3800,1314,40.3800,40.3800
40.3950,2020-04-27 15:18:00,40.3700,3467,40.3700,40.3800
40.3800,2020-04-27 15:17:00,40.3600,1345,40.3800,40.3650
40.3750,2020-04-27 15:16:00,40.3600,3134,40.3700,40.3750
40.3800,2020-04-27 15:15:00,40.3700,1130,40.3700,40.3700
40.3700,2020-04-27 15:14:00,40.3550,3770,40.3550,40.3700
40.3900,2020-04-27 15:13:00,40.3550,1807,40.3900,40.3550
40.4050,2020-04-27 15:12:00,40.3700,3649,40.3750,40.3985
40.3750,2020-04-27 15:11:00,40.3600,1258,40.3750,40.3700
40.3850,2020-04-27 15:10:00,40.3700,3670,40.3800,40.3700
40.3800,2020-04-27 15:09:00,40.3700,2449,40.3800,40.3800
40.3900,2020-04-27 15:08:00,40.3702,2510,40.3800,40.3750
40.4000,2020-04-27 15:07:00,40.3850,2507,40.4000,40.3850
40.4050,2020-04-27 15:06:00,40.4000,2274,40.4050,40.4000
40.4050,2020-04-27 15:05:00,40.3700,3652,40.3700,40.4050
40.3700,2020-04-27 15:04:00,40.3500,1825,40.3600,40.3600
40.3700,2020-04-27 15:03:00,40.3300,1462,40.3700,40.3401
40.3800,2020-04-27 15:02:00,40.3200,5907,40.3300,40.3800
40.3600,2020-04-27 15:01:00,40.3350,2026,40.3400,40.3400
40.3400,2020-04-27 15:00:00,40.3300,2363,40.3300,40.3400
40.3800,2020-04-27 14:59:00,40.3050,4540,40.3800,40.3175
40.3900,2020-04-27 14:58:00,40.3700,3238,40.3700,40.3839
40.3600,2020-04-27 14:57:00,40.3350,2914,40.3400,40.3600
40.3400,2020-04-27 14:56:00,40.3300,1440,40.3400,40.3350
40.3400,2020-04-27 14:55:00,40.3300,2464,40.3300,40.3400
40.3700,2020-04-27 14:54:00,40.3200,24499,40.3700,40.3200
40.3950,2020-04-27 14:53:00,40.3550,931,40.3600,40.3700
40.3600,2020-04-27 14:52:00,40.3413,831,40.3413,40.3550
40.4000,2020-04-27 14:51:00,40.3500,2647,40.4000,40.3500
40.4000,2020-04-27 14:50:00,40.3900,1642,40.3900,40.4000
40.3800,2020-04-27 14:49:00,40.3350,1760,40.3350,40.3800
40.3750,2020-04-27 14:48:00,40.3300,4298,40.3400,40.3350
40.3600,2020-04-27 14:47:00,40.3350,1976,40.3350,40.3500
40.3400,2020-04-27 14:46:00,40.3200,2205,40.3300,40.3400
40.3400,2020-04-27 14:45:00,40.2950,2186,40.3050,40.3400
40.3600,2020-04-27 14:44:00,40.3100,2740,40.3600,40.3100
40.3800,2020-04-27 14:43:00,40.3800,984,40.3800,40.3800
40.4000,2020-04-27 14:42:00,40.3800,1143,40.3800,40.3900
40.4100,2020-04-27 14:41:00,40.3400,6530,40.3422,40.3875
40.3400,2020-04-27 14:40:00,40.3300,1243,40.3300,40.3360
40.3400,2020-04-27 14:39:00,40.3228,1473,40.3300,40.3300
40.3200,2020-04-27 14:38:00,40.3000,1020,40.3100,40.3100
40.3050,2020-04-27 14:37:00,40.2900,743,40.3050,40.2900
40.3100,2020-04-27 14:36:00,40.2815,3217,40.2900,40.2815
40.3400,2020-04-27 14:35:00,40.2800,2153,40.3400,40.2800
40.3500,2020-04-27 14:34:00,40.3500,376,40.3500,40.3500
40.3500,2020-04-27 14:33:00,40.3200,736,40.3400,40.3500
40.3400,2020-04-27 14:32:00,40.2950,894,40.2950,40.3200
40.3400,2020-04-27 14:31:00,40.2700,976,40.3250,40.2700
