high,time,low,volume,open,close
16.9100,2020-04-27 16:00:00,16.8700,62949,16.8900,16.8800
16.9200,2020-04-27 15:59:00,16.8950,47404,16.9200,16.8950
16.9300,2020-04-27 15:58:00,16.9050,47499,16.9250,16.9150
16.9400,2020-04-27 15:57:00,16.9200,34507,16.9250,16.9250
16.9700,2020-04-27 15:56:00,16.9200,45301,16.9650,16.9200
16.9600,2020-04-27 15:55:00,16.9400,27079,16.9400,16.9600
16.9500,2020-04-27 15:54:00,16.9100,22750,16.9100,16.9300
16.9200,2020-04-27 15:53:00,16.9000,31470,16.9000,16.9150
16.9200,2020-04-27 15:52:00,16.8950,21057,16.8950,16.9100
16.9550,2020-04-27 15:51:00,16.8850,64886,16.8900,16.8900
16.9000,2020-04-27 15:50:00,16.8800,13051,16.8900,16.8850
16.9100,2020-04-27 15:49:00,16.8950,19477,16.9000,16.9000
16.9000,2020-04-27 15:48:00,16.8800,8640,16.8800,16.8950
16.8850,2020-04-27 15:47:00,16.8400,12682,16.8400,16.8800
16.8400,2020-04-27 15:46:00,16.8300,10025,16.8300,16.8300
16.8600,2020-04-27 15:45:00,16.8200,12919,16.8200,16.8300
16.8350,2020-04-27 15:44:00,16.8200,6406,16.8350,16.8200
16.8300,2020-04-27 15:43:00,16.8100,10092,16.8100,16.8300
16.8200,2020-04-27 15:42:00,16.8050,6337,16.8200,16.8100
16.8450,2020-04-27 15:41:00,16.8236,10580,16.8350,16.8236
16.8700,2020-04-27 15:40:00,16.8300,5285,16.8700,16.8400
16.8880,2020-04-27 15:39:00,16.8650,17261,16.8650,16.8700
16.8800,2020-04-27 15:38:00,16.8600,9514,16.8800,16.8650
16.8850,2020-04-27 15:37:00,16.8700,6397,16.8750,16.8800
16.8800,2020-04-27 15:36:00,16.8500,9339,16.8500,16.8700
16.8600,2020-04-27 15:35:00,16.8400,4717,16.8500,16.8500
16.8600,2020-04-27 15:34:00,16.8300,5927,16.8300,16.8550
16.8800,2020-04-27 15:33:00,16.8300,11605,16.8500,16.8350
16.8550,2020-04-27 15:32:00,16.8300,4668,16.8350,16.8500
16.8700,2020-04-27 15:31:00,16.8300,15280,16.8600,16.8300
16.8600,2020-04-27 15:30:00,16.8450,4351,16.8600,16.8600
16.8800,2020-04-27 15:29:00,16.8500,10737,16.8500,16.8700
16.8690,2020-04-27 15:28:00,16.8500,7198,16.8650,16.8550
16.8800,2020-04-27 15:27:00,16.8600,8202,16.8750,16.8650
16.9100,2020-04-27 15:26:00,16.8750,8654,16.9000,16.8750
16.9000,2020-04-27 15:25:00,16.8850,2589,16.8850,16.8950
16.9000,2020-04-27 15:24:00,16.8800,11237,16.8900,16.8900
16.9000,2020-04-27 15:23:00,16.8709,2963,16.8750,16.8800
16.8800,2020-04-27 15:22:00,16.8600,7237,16.8700,16.8750
16.9000,2020-04-27 15:21:00,16.8500,6282,16.8800,16.8600
16.8800,2020-04-27 15:20:00,16.8200,7001,16.8200,16.8800
16.8750,2020-04-27 15:19:00,16.8241,7954,16.8550,16.8241
