high,time,low,volume,open,close
187.8200,2020-04-27 16:00:00,187.5000,287968,187.5700,187.5000
187.7300,2020-04-27 15:59:00,187.5600,135506,187.6968,187.5800
187.9000,2020-04-27 15:58:00,187.6700,104994,187.9000,187.7000
187.9175,2020-04-27 15:57:00,187.6800,105643,187.7800,187.8900
188.0100,2020-04-27 15:56:00,187.7500,130051,188.0100,187.7750
188.4350,2020-04-27 15:55:00,187.9200,139277,188.2749,188.0600
188.2800,2020-04-27 15:54:00,188.1200,68761,188.1400,188.2700
188.2400,2020-04-27 15:53:00,188.0700,85340,188.1800,188.1000
188.5000,2020-04-27 15:52:00,188.1600,82467,188.4000,188.1700
188.7300,2020-04-27 15:51:00,188.1600,133370,188.6100,188.4000
188.6200,2020-04-27 15:50:00,188.5000,49076,188.5350,188.6000
188.6200,2020-04-27 15:49:00,188.4800,34688,188.5600,188.5329
188.6700,2020-04-27 15:48:00,188.5000,40020,188.6500,188.5800
188.7100,2020-04-27 15:47:00,188.5600,40887,188.5800,188.6400
188.7400,2020-04-27 15:46:00,188.5000,49035,188.7400,188.5800
188.7300,2020-04-27 15:45:00,188.6057,32392,188.6600,188.7300
188.7300,2020-04-27 15:44:00,188.6100,34505,188.6301,188.6500
188.6485,2020-04-27 15:43:00,188.5101,49021,188.6000,188.6400
188.6000,2020-04-27 15:42:00,188.3900,33154,188.4064,188.6000
188.4500,2020-04-27 15:41:00,188.3600,36245,188.4083,188.4200
188.6600,2020-04-27 15:40:00,188.3901,38815,188.6600,188.4000
188.7500,2020-04-27 15:39:00,188.5100,39378,188.5300,188.6650
188.5400,2020-04-27 15:38:00,188.4600,22151,188.4700,188.5278
188.5800,2020-04-27 15:37:00,188.4000,27357,188.5000,188.4533
188.6400,2020-04-27 15:36:00,188.4500,41323,188.4500,188.5250
188.4600,2020-04-27 15:35:00,188.3800,23165,188.4150,188.4600
188.5300,2020-04-27 15:34:00,188.3400,41082,188.3500,188.4150
188.6050,2020-04-27 15:33:00,188.2900,58979,188.6050,188.3400
188.7550,2020-04-27 15:32:00,188.5800,41873,188.7501,188.6300
188.8500,2020-04-27 15:31:00,188.6661,52692,188.6661,188.7500
188.6800,2020-04-27 15:30:00,188.5450,39899,188.5500,188.6650
188.6000,2020-04-27 15:29:00,188.5300,37201,188.5625,188.5385
188.7800,2020-04-27 15:28:00,188.5100,75969,188.7050,188.5600
188.8220,2020-04-27 15:27:00,188.7100,41263,188.7650,188.7136
188.8000,2020-04-27 15:26:00,188.7000,47316,188.7557,188.7700
188.8900,2020-04-27 15:25:00,188.7057,48874,188.8650,188.7600
188.9000,2020-04-27 15:24:00,188.6500,57584,188.6600,188.8600
188.7000,2020-04-27 15:23:00,188.5598,43580,188.5720,188.6500
188.6600,2020-04-27 15:22:00,188.5500,55030,188.6600,188.5800
188.7900,2020-04-27 15:21:00,188.4800,87427,188.4900,188.6600
188.5400,2020-04-27 15:20:00,188.2800,79135,188.3128,188.4900
188.3300,2020-04-27 15:19:00,188.2110,39978,188.2300,188.3000
188.2900,2020-04-27 15:18:00,188.1600,37308,188.1901,188.2300
188.2253,2020-04-27 15:17:00,188.1150,25012,188.1490,188.2000
188.1600,2020-04-27 15:16:00,188.0100,37587,188.0100,188.1500
188.1300,2020-04-27 15:15:00,188.0100,28055,188.1000,188.0100
188.1227,2020-04-27 15:14:00,188.0703,21932,188.0900,188.1000
188.1400,2020-04-27 15:13:00,188.0500,40460,188.0810,188.1300
188.1000,2020-04-27 15:12:00,188.0400,29818,188.0450,188.1000
188.0700,2020-04-27 15:11:00,187.8900,29266,187.9000,188.0500
187.9900,2020-04-27 15:10:00,187.8800,16186,187.9500,187.9000
187.9900,2020-04-27 15:09:00,187.8401,28715,187.8500,187.9500
187.8800,2020-04-27 15:08:00,187.6601,32074,187.6700,187.8500
187.8600,2020-04-27 15:07:00,187.6600,45372,187.8300,187.6700
188.1200,2020-04-27 15:06:00,187.8150,44275,188.0650,187.8200
188.1200,2020-04-27 15:05:00,188.0500,14251,188.1200,188.0600
188.1300,2020-04-27 15:04:00,187.9400,33960,187.9600,188.1200
