high,time,low,volume,open,close
1271.6500,2020-04-27 16:00:00,1269.5900,50255,1270.2900,1270.9500
1270.8600,2020-04-27 15:59:00,1270.3101,11937,1270.7900,1270.3600
1271.0350,2020-04-27 15:58:00,1270.2400,12654,1271.0247,1270.8600
1270.9200,2020-04-27 15:57:00,1270.2450,9294,1270.7750,1270.6899
1271.7200,2020-04-27 15:56:00,1270.5699,7968,1271.7200,1270.5900
1272.6400,2020-04-27 15:55:00,1270.9301,11160,1272.1779,1271.2800
1272.6400,2020-04-27 15:54:00,1271.1000,6746,1271.1250,1271.8000
1271.5200,2020-04-27 15:53:00,1270.6801,9174,1271.1899,1270.9200
1272.9000,2020-04-27 15:52:00,1271.5200,8663,1272.2650,1271.5200
1274.3700,2020-04-27 15:51:00,1270.5900,10355,1274.2800,1272.4200
1274.2000,2020-04-27 15:50:00,1273.1400,6366,1273.3700,1273.7950
1274.1174,2020-04-27 15:49:00,1273.3600,5808,1274.1000,1273.4900
1274.5300,2020-04-27 15:48:00,1273.5601,4832,1274.3400,1273.8650
1274.4301,2020-04-27 15:47:00,1274.1300,1716,1274.4301,1274.2300
1275.2400,2020-04-27 15:46:00,1274.0800,4093,1275.1500,1274.3199
1275.1500,2020-04-27 15:45:00,1274.2750,5275,1274.2750,1275.1000
1274.8101,2020-04-27 15:44:00,1274.1300,5199,1274.3850,1274.1300
1274.3900,2020-04-27 15:43:00,1274.0100,3281,1274.0601,1274.2600
1274.2999,2020-04-27 15:42:00,1273.7600,3199,1273.9000,1273.9700
1273.7500,2020-04-27 15:41:00,1273.0000,4583,1273.3101,1273.7500
1273.8900,2020-04-27 15:40:00,1273.6600,1427,1273.8900,1273.7400
1274.3101,2020-04-27 15:39:00,1273.8400,2428,1274.2800,1274.0800
1274.3510,2020-04-27 15:38:00,1273.5601,2482,1274.0800,1273.6650
1274.0100,2020-04-27 15:37:00,1273.2000,3508,1273.2000,1273.7930
1273.2000,2020-04-27 15:36:00,1272.6801,6559,1272.6801,1272.8500
1272.1450,2020-04-27 15:35:00,1272.0300,1884,1272.0300,1272.1450
