high,time,low,volume,open,close
9.6600,2020-04-27 16:00:00,9.6500,124774,9.6500,9.6500
9.6700,2020-04-27 15:59:00,9.6400,83043,9.6650,9.6450
9.6700,2020-04-27 15:58:00,9.6550,44119,9.6550,9.6650
9.6600,2020-04-27 15:57:00,9.6400,55499,9.6500,9.6550
9.6700,2020-04-27 15:56:00,9.6500,33073,9.6600,9.6500
9.6700,2020-04-27 15:55:00,9.6600,30222,9.6650,9.6600
9.6650,2020-04-27 15:54:00,9.6500,23354,9.6550,9.6650
9.6600,2020-04-27 15:53:00,9.6300,61847,9.6500,9.6550
9.6700,2020-04-27 15:52:00,9.6500,31142,9.6700,9.6500
9.6900,2020-04-27 15:51:00,9.6600,56905,9.6900,9.6600
9.7000,2020-04-27 15:50:00,9.6801,31636,9.6900,9.6950
9.6900,2020-04-27 15:49:00,9.6800,18432,9.6850,9.6850
9.6900,2020-04-27 15:48:00,9.6801,14110,9.6900,9.6900
9.6900,2020-04-27 15:47:00,9.6800,29098,9.6890,9.6850
9.6900,2020-04-27 15:46:00,9.6800,15045,9.6900,9.6800
9.6900,2020-04-27 15:45:00,9.6800,9726,9.6850,9.6850
9.6850,2020-04-27 15:44:00,9.6700,33861,9.6700,9.6800
9.6800,2020-04-27 15:43:00,9.6700,11357,9.6700,9.6700
9.6850,2020-04-27 15:42:00,9.6700,29140,9.6800,9.6700
9.6900,2020-04-27 15:41:00,9.6700,16555,9.6900,9.6800
9.7100,2020-04-27 15:40:00,9.6900,23133,9.7100,9.6901
9.7100,2020-04-27 15:39:00,9.6950,30724,9.7000,9.7050
9.7000,2020-04-27 15:38:00,9.6901,6399,9.7000,9.6950
9.7000,2020-04-27 15:37:00,9.6901,7312,9.7000,9.6950
9.7000,2020-04-27 15:36:00,9.6850,15929,9.6900,9.6950
9.6900,2020-04-27 15:35:00,9.6700,43659,9.6800,9.6850
9.6864,2020-04-27 15:34:00,9.6800,12667,9.6800,9.6800
9.7100,2020-04-27 15:33:00,9.6800,32828,9.7100,9.6800
9.7100,2020-04-27 15:32:00,9.7000,12212,9.7050,9.7050
9.7075,2020-04-27 15:31:00,9.6921,29540,9.6950,9.7001
9.7050,2020-04-27 15:30:00,9.6900,16973,9.7000,9.6950
9.7100,2020-04-27 15:29:00,9.7000,10781,9.7100,9.7000
9.7300,2020-04-27 15:28:00,9.7000,34892,9.7250,9.7050
9.7300,2020-04-27 15:27:00,9.7200,3281,9.7300,9.7300
9.7300,2020-04-27 15:26:00,9.7201,2651,9.7250,9.7300
9.7300,2020-04-27 15:25:00,9.7150,20737,9.7150,9.7250
9.7200,2020-04-27 15:24:00,9.7100,12233,9.7150,9.7178
9.7200,2020-04-27 15:23:00,9.7150,5208,9.7150,9.7200
9.7200,2020-04-27 15:22:00,9.7100,3065,9.7138,9.7150
9.7200,2020-04-27 15:21:00,9.7000,18589,9.7100,9.7200
9.7100,2020-04-27 15:20:00,9.6950,32609,9.6950,9.7050
9.7000,2020-04-27 15:19:00,9.6900,7472,9.6900,9.7000
9.7000,2020-04-27 15:18:00,9.6901,12401,9.7000,9.6950
9.7100,2020-04-27 15:17:00,9.6900,10538,9.7000,9.6950
9.7100,2020-04-27 15:16:00,9.7000,16054,9.7050,9.7000
9.7100,2020-04-27 15:15:00,9.7030,5592,9.7100,9.7100
9.7100,2020-04-27 15:14:00,9.6950,10142,9.7000,9.7100
9.6900,2020-04-27 15:13:00,9.6800,16104,9.6850,9.6900
9.6850,2020-04-27 15:12:00,9.6700,23229,9.6700,9.6800
9.6800,2020-04-27 15:11:00,9.6700,19220,9.6700,9.6700
9.6850,2020-04-27 15:10:00,9.6700,10217,9.6800,9.6700
9.6850,2020-04-27 15:09:00,9.6750,19889,9.6808,9.6800
9.6958,2020-04-27 15:08:00,9.6800,11235,9.6900,9.6800
9.7000,2020-04-27 15:07:00,9.6900,7668,9.7000,9.6900
9.7150,2020-04-27 15:06:00,9.6900,15129,9.7100,9.6900
9.7200,2020-04-27 15:05:00,9.7000,20345,9.7000,9.7100
9.7100,2020-04-27 15:04:00,9.6900,42818,9.7000,9.7050
9.7100,2020-04-27 15:03:00,9.6850,20812,9.6850,9.7050
9.6900,2020-04-27 15:02:00,9.6850,11909,9.6850,9.6850
9.6900,2020-04-27 15:01:00,9.6800,5813,9.6850,9.6900
9.7000,2020-04-27 15:00:00,9.6900,4235,9.6900,9.6900
9.6900,2020-04-27 14:59:00,9.6800,3082,9.6850,9.6800
9.6900,2020-04-27 14:58:00,9.6800,3218,9.6850,9.6850
9.6900,2020-04-27 14:57:00,9.6800,10255,9.6800,9.6850
9.6900,2020-04-27 14:56:00,9.6800,2161,9.6900,9.6850
9.7000,2020-04-27 14:55:00,9.6850,14360,9.7000,9.6900
