high,time,low,volume,open,close
15.0400,2020-04-27 16:00:00,15.0000,143835,15.0000,15.0300
15.0300,2020-04-27 15:59:00,14.9800,139231,15.0250,15.0000
15.0400,2020-04-27 15:58:00,15.0200,111666,15.0300,15.0250
15.0300,2020-04-27 15:57:00,14.9950,84860,14.9950,15.0300
15.0100,2020-04-27 15:56:00,14.9850,108975,14.9850,14.9900
15.0300,2020-04-27 15:55:00,14.9800,113827,15.0250,14.9900
15.0350,2020-04-27 15:54:00,15.0200,119946,15.0200,15.0250
15.0350,2020-04-27 15:53:00,15.0200,55885,15.0350,15.0200
15.0400,2020-04-27 15:52:00,15.0300,28713,15.0350,15.0300
15.0600,2020-04-27 15:51:00,15.0200,137551,15.0350,15.0350
15.0400,2020-04-27 15:50:00,15.0300,37672,15.0350,15.0300
15.0400,2020-04-27 15:49:00,15.0300,12369,15.0300,15.0300
15.0450,2020-04-27 15:48:00,15.0300,39998,15.0400,15.0350
15.0474,2020-04-27 15:47:00,15.0400,11611,15.0450,15.0450
15.0500,2020-04-27 15:46:00,15.0400,12471,15.0500,15.0450
15.0600,2020-04-27 15:45:00,15.0400,59232,15.0450,15.0500
15.0500,2020-04-27 15:44:00,15.0400,16490,15.0500,15.0450
15.0450,2020-04-27 15:43:00,15.0300,47325,15.0350,15.0450
15.0400,2020-04-27 15:42:00,15.0300,14630,15.0350,15.0350
15.0550,2020-04-27 15:41:00,15.0300,37568,15.0550,15.0350
15.0600,2020-04-27 15:40:00,15.0500,17833,15.0550,15.0550
15.0600,2020-04-27 15:39:00,15.0300,43323,15.0400,15.0550
15.0400,2020-04-27 15:38:00,15.0300,9024,15.0350,15.0364
15.0550,2020-04-27 15:37:00,15.0300,35653,15.0550,15.0350
15.0600,2020-04-27 15:36:00,15.0500,21668,15.0550,15.0550
15.0550,2020-04-27 15:35:00,15.0400,58770,15.0450,15.0550
15.0550,2020-04-27 15:34:00,15.0400,54707,15.0450,15.0450
15.0550,2020-04-27 15:33:00,15.0400,22738,15.0550,15.0400
15.0600,2020-04-27 15:32:00,15.0450,54584,15.0450,15.0550
15.0650,2020-04-27 15:31:00,15.0400,86093,15.0550,15.0450
15.0600,2020-04-27 15:30:00,15.0500,21438,15.0500,15.0550
15.0600,2020-04-27 15:29:00,15.0500,12642,15.0579,15.0550
15.0690,2020-04-27 15:28:00,15.0500,15161,15.0600,15.0500
15.0800,2020-04-27 15:27:00,15.0600,56170,15.0750,15.0650
15.0800,2020-04-27 15:26:00,15.0700,7363,15.0744,15.0750
15.0900,2020-04-27 15:25:00,15.0700,35550,15.0800,15.0750
15.0900,2020-04-27 15:24:00,15.0700,46375,15.0700,15.0850
15.0950,2020-04-27 15:23:00,15.0600,192338,15.0946,15.0750
15.1000,2020-04-27 15:22:00,15.0900,11984,15.0950,15.0900
15.1150,2020-04-27 15:21:00,15.0900,38851,15.0950,15.0950
15.1050,2020-04-27 15:20:00,15.0500,47608,15.0550,15.1000
15.0600,2020-04-27 15:19:00,15.0500,13050,15.0550,15.0550
15.0600,2020-04-27 15:18:00,15.0450,14772,15.0500,15.0500
15.0650,2020-04-27 15:17:00,15.0400,41867,15.0650,15.0450
15.0700,2020-04-27 15:16:00,15.0600,22608,15.0600,15.0650
15.0700,2020-04-27 15:15:00,15.0600,13934,15.0700,15.0650
15.0700,2020-04-27 15:14:00,15.0500,26582,15.0510,15.0600
15.0579,2020-04-27 15:13:00,15.0450,34648,15.0535,15.0550
15.0600,2020-04-27 15:12:00,15.0450,28683,15.0450,15.0550
15.0600,2020-04-27 15:11:00,15.0300,60542,15.0350,15.0429
15.0566,2020-04-27 15:10:00,15.0310,26160,15.0500,15.0350
15.0600,2020-04-27 15:09:00,15.0500,48223,15.0550,15.0500
15.0600,2020-04-27 15:08:00,15.0450,41068,15.0450,15.0550
15.0650,2020-04-27 15:07:00,15.0450,40563,15.0600,15.0450
15.0750,2020-04-27 15:06:00,15.0600,24202,15.0700,15.0600
15.0750,2020-04-27 15:05:00,15.0600,58679,15.0700,15.0650
15.0750,2020-04-27 15:04:00,15.0600,69563,15.0700,15.0700
15.0700,2020-04-27 15:03:00,15.0600,32390,15.0650,15.0650
15.0700,2020-04-27 15:02:00,15.0500,72446,15.0552,15.0672
15.0600,2020-04-27 15:01:00,15.0500,13035,15.0501,15.0550
15.0700,2020-04-27 15:00:00,15.0500,33826,15.0650,15.0500
15.0700,2020-04-27 14:59:00,15.0600,20869,15.0650,15.0650
15.0700,2020-04-27 14:58:00,15.0600,10451,15.0650,15.0700
15.0700,2020-04-27 14:57:00,15.0450,38865,15.0450,15.0650
15.0500,2020-04-27 14:56:00,15.0400,7283,15.0450,15.0400
15.0500,2020-04-27 14:55:00,15.0400,3303,15.0450,15.0450
15.0575,2020-04-27 14:54:00,15.0400,27364,15.0450,15.0450
15.0600,2020-04-27 14:53:00,15.0450,22480,15.0550,15.0450
15.0578,2020-04-27 14:52:00,15.0500,14306,15.0550,15.0550
15.0700,2020-04-27 14:51:00,15.0500,33340,15.0650,15.0550
15.0800,2020-04-27 14:50:00,15.0600,112997,15.0700,15.0650
15.0700,2020-04-27 14:49:00,15.0500,46355,15.0500,15.0700
15.0600,2020-04-27 14:48:00,15.0500,4577,15.0500,15.0500
15.0600,2020-04-27 14:47:00,15.0500,14128,15.0584,15.0500
15.0600,2020-04-27 14:46:00,15.0500,14750,15.0550,15.0500
15.0700,2020-04-27 14:45:00,15.0500,13067,15.0600,15.0550
15.0750,2020-04-27 14:44:00,15.0600,15113,15.0750,15.0650
15.1050,2020-04-27 14:43:00,15.0700,50996,15.0850,15.0700
15.0900,2020-04-27 14:42:00,15.0700,13560,15.0750,15.0900
15.0800,2020-04-27 14:41:00,15.0450,29856,15.0450,15.0700
15.0500,2020-04-27 14:40:00,15.0400,13212,15.0450,15.0436
15.0500,2020-04-27 14:39:00,15.0350,26706,15.0350,15.0450
15.0400,2020-04-27 14:38:00,15.0300,7185,15.0400,15.0350
15.0550,2020-04-27 14:37:00,15.0350,15568,15.0500,15.0400
15.0600,2020-04-27 14:36:00,15.0500,11580,15.0550,15.0500
15.0600,2020-04-27 14:35:00,15.0500,3748,15.0550,15.0550
15.0650,2020-04-27 14:34:00,15.0500,20605,15.0650,15.0550
15.0700,2020-04-27 14:33:00,15.0550,19350,15.0600,15.0600
15.0600,2020-04-27 14:32:00,15.0500,27096,15.0550,15.0550
15.0600,2020-04-27 14:31:00,15.0500,22729,15.0600,15.0550
15.0650,2020-04-27 14:30:00,15.0550,24036,15.0600,15.0650
15.0750,2020-04-27 14:29:00,15.0600,36251,15.0650,15.0650
15.0700,2020-04-27 14:28:00,15.0600,17487,15.0650,15.0700
15.0850,2020-04-27 14:27:00,15.0600,20657,15.0850,15.0650
