high,time,low,volume,open,close
126.0700,2020-04-27 16:00:00,125.8400,97501,125.9600,125.8600
126.1100,2020-04-27 15:59:00,125.9500,49454,126.1100,125.9500
126.2082,2020-04-27 15:58:00,126.1100,34414,126.2082,126.1100
126.2300,2020-04-27 15:57:00,126.1400,28186,126.2200,126.1800
126.4000,2020-04-27 15:56:00,126.2000,29102,126.3500,126.2200
126.4100,2020-04-27 15:55:00,126.2900,22495,126.3900,126.3500
126.4300,2020-04-27 15:54:00,126.3500,19212,126.3500,126.3800
126.4250,2020-04-27 15:53:00,126.3300,20330,126.4100,126.3600
126.5800,2020-04-27 15:52:00,126.4100,17121,126.5597,126.4200
126.7900,2020-04-27 15:51:00,126.4200,33072,126.7300,126.5600
126.7250,2020-04-27 15:50:00,126.5100,21931,126.5100,126.7150
126.5800,2020-04-27 15:49:00,126.4550,19471,126.5200,126.5100
126.5825,2020-04-27 15:48:00,126.4600,9189,126.5800,126.5200
126.6500,2020-04-27 15:47:00,126.5650,13361,126.5810,126.5900
126.5700,2020-04-27 15:46:00,126.4600,21800,126.5500,126.5650
126.6300,2020-04-27 15:45:00,126.5200,10600,126.6300,126.5600
126.6300,2020-04-27 15:44:00,126.5100,14081,126.5750,126.6300
126.5850,2020-04-27 15:43:00,126.5400,15400,126.5600,126.5800
126.6500,2020-04-27 15:42:00,126.5600,5987,126.6500,126.5600
126.6600,2020-04-27 15:41:00,126.5700,10823,126.5800,126.6500
126.6850,2020-04-27 15:40:00,126.5700,12622,126.6800,126.5700
126.7000,2020-04-27 15:39:00,126.6400,11211,126.6400,126.6900
126.6600,2020-04-27 15:38:00,126.6000,10492,126.6300,126.6400
126.6400,2020-04-27 15:37:00,126.5800,9905,126.5900,126.6400
126.6100,2020-04-27 15:36:00,126.5400,16229,126.5500,126.5900
126.5500,2020-04-27 15:35:00,126.4400,8869,126.4700,126.5500
126.5300,2020-04-27 15:34:00,126.3800,8524,126.3800,126.4900
126.5499,2020-04-27 15:33:00,126.3500,11393,126.5350,126.3700
126.5600,2020-04-27 15:32:00,126.4700,6273,126.5000,126.5400
126.5370,2020-04-27 15:31:00,126.4550,12202,126.4875,126.4900
126.4700,2020-04-27 15:30:00,126.4100,8239,126.4150,126.4600
126.4600,2020-04-27 15:29:00,126.4023,4866,126.4400,126.4087
126.4600,2020-04-27 15:28:00,126.4000,11254,126.4600,126.4300
126.5600,2020-04-27 15:27:00,126.4600,10838,126.5600,126.4650
126.7000,2020-04-27 15:26:00,126.5300,11241,126.6850,126.5700
126.8000,2020-04-27 15:25:00,126.7000,8878,126.7700,126.7000
126.8700,2020-04-27 15:24:00,126.8100,7669,126.8100,126.8100
126.8100,2020-04-27 15:23:00,126.7800,15357,126.7850,126.7800
126.9900,2020-04-27 15:22:00,126.7581,19479,126.8050,126.8000
126.8500,2020-04-27 15:21:00,126.7500,11769,126.7500,126.8271
126.8500,2020-04-27 15:20:00,126.7450,12157,126.7450,126.7500
126.8200,2020-04-27 15:19:00,126.7100,9445,126.7400,126.7400
126.8000,2020-04-27 15:18:00,126.7177,8589,126.7300,126.7400
126.7300,2020-04-27 15:17:00,126.6700,9627,126.6900,126.7200
126.7700,2020-04-27 15:16:00,126.6300,11631,126.6700,126.7000
126.7900,2020-04-27 15:15:00,126.6500,11741,126.7350,126.6500
126.7400,2020-04-27 15:14:00,126.6500,9168,126.6500,126.7400
126.6700,2020-04-27 15:13:00,126.5800,20372,126.5847,126.6500
126.5900,2020-04-27 15:12:00,126.4999,5465,126.5100,126.5900
126.5200,2020-04-27 15:11:00,126.4385,11501,126.4500,126.5000
126.5700,2020-04-27 15:10:00,126.4650,6819,126.5300,126.4700
126.5619,2020-04-27 15:09:00,126.5100,7876,126.5400,126.5200
126.5400,2020-04-27 15:08:00,126.4250,3866,126.4600,126.5155
126.5175,2020-04-27 15:07:00,126.4500,7624,126.5100,126.4500
126.6250,2020-04-27 15:06:00,126.4900,8289,126.5700,126.5100
126.5900,2020-04-27 15:05:00,126.5300,15000,126.5400,126.5700
126.5400,2020-04-27 15:04:00,126.4071,5663,126.4500,126.5400
126.4650,2020-04-27 15:03:00,126.3810,9460,126.4350,126.4650
126.4600,2020-04-27 15:02:00,126.3900,6284,126.3900,126.4400
126.4500,2020-04-27 15:01:00,126.2940,9754,126.3350,126.3900
126.3300,2020-04-27 15:00:00,126.2500,3882,126.2800,126.3300
126.3700,2020-04-27 14:59:00,126.2800,6776,126.3550,126.3134
126.3700,2020-04-27 14:58:00,126.3400,4063,126.3600,126.3550
126.3900,2020-04-27 14:57:00,126.3000,4294,126.3000,126.3650
126.3802,2020-04-27 14:56:00,126.2700,7701,126.3650,126.2901
126.4100,2020-04-27 14:55:00,126.3400,5214,126.4000,126.3666
