high,time,low,volume,open,close
59.5300,2020-04-27 16:00:00,59.4500,466418,59.4900,59.4800
59.5000,2020-04-27 15:59:00,59.4400,218783,59.4650,59.4850
59.4800,2020-04-27 15:58:00,59.4300,167909,59.4650,59.4650
59.4700,2020-04-27 15:57:00,59.4000,145272,59.4150,59.4700
59.4750,2020-04-27 15:56:00,59.4000,122452,59.4750,59.4200
59.5000,2020-04-27 15:55:00,59.4300,149690,59.4650,59.4800
59.4900,2020-04-27 15:54:00,59.4400,103169,59.4500,59.4700
59.4800,2020-04-27 15:53:00,59.4200,125080,59.4700,59.4520
59.4950,2020-04-27 15:52:00,59.4200,173351,59.4200,59.4650
59.5050,2020-04-27 15:51:00,59.2900,411629,59.3900,59.4250
59.4000,2020-04-27 15:50:00,59.3250,76496,59.3350,59.3900
59.3900,2020-04-27 15:49:00,59.3317,69750,59.3800,59.3350
59.4300,2020-04-27 15:48:00,59.3700,44555,59.4300,59.3755
59.4500,2020-04-27 15:47:00,59.4100,32371,59.4150,59.4301
59.4610,2020-04-27 15:46:00,59.4100,40981,59.4610,59.4100
59.4700,2020-04-27 15:45:00,59.4200,49880,59.4400,59.4650
59.4650,2020-04-27 15:44:00,59.4150,40722,59.4500,59.4300
59.4550,2020-04-27 15:43:00,59.4100,51397,59.4250,59.4500
59.4700,2020-04-27 15:42:00,59.4100,48267,59.4550,59.4250
59.4600,2020-04-27 15:41:00,59.3700,45860,59.3850,59.4587
59.4300,2020-04-27 15:40:00,59.3800,34311,59.4200,59.3800
59.4700,2020-04-27 15:39:00,59.4100,70006,59.4400,59.4300
59.4700,2020-04-27 15:38:00,59.4400,42173,59.4600,59.4400
59.4600,2020-04-27 15:37:00,59.4150,49933,59.4200,59.4550
59.4200,2020-04-27 15:36:00,59.3000,52523,59.3100,59.4159
59.3100,2020-04-27 15:35:00,59.2750,94533,59.2950,59.3050
59.3200,2020-04-27 15:34:00,59.2636,42304,59.2700,59.3000
59.3150,2020-04-27 15:33:00,59.2550,42771,59.3100,59.2699
59.3300,2020-04-27 15:32:00,59.2600,35103,59.3000,59.3200
59.3100,2020-04-27 15:31:00,59.2500,52082,59.2800,59.2900
59.2800,2020-04-27 15:30:00,59.2500,44334,59.2622,59.2782
59.2800,2020-04-27 15:29:00,59.2500,27211,59.2700,59.2650
59.3100,2020-04-27 15:28:00,59.2400,40369,59.2712,59.2628
59.3100,2020-04-27 15:27:00,59.2700,49319,59.3000,59.2750
59.3400,2020-04-27 15:26:00,59.2800,36785,59.3300,59.3050
59.3600,2020-04-27 15:25:00,59.2900,39416,59.3450,59.3292
59.3700,2020-04-27 15:24:00,59.3300,26917,59.3700,59.3420
59.3800,2020-04-27 15:23:00,59.3350,30311,59.3750,59.3650
59.4300,2020-04-27 15:22:00,59.3600,39386,59.4200,59.3800
59.4450,2020-04-27 15:21:00,59.3650,73139,59.3650,59.4200
59.3800,2020-04-27 15:20:00,59.3001,48928,59.3100,59.3700
59.3300,2020-04-27 15:19:00,59.2800,30548,59.2849,59.3100
59.3300,2020-04-27 15:18:00,59.2700,31822,59.2950,59.2800
59.3200,2020-04-27 15:17:00,59.2900,18099,59.3150,59.2950
59.3400,2020-04-27 15:16:00,59.2800,25835,59.2850,59.3150
59.3300,2020-04-27 15:15:00,59.2850,25511,59.2950,59.2900
59.3300,2020-04-27 15:14:00,59.2900,17499,59.3200,59.3000
59.3600,2020-04-27 15:13:00,59.2800,23823,59.3450,59.3150
59.3500,2020-04-27 15:12:00,59.2900,25431,59.3000,59.3430
59.3095,2020-04-27 15:11:00,59.2700,31912,59.2700,59.3000
59.3350,2020-04-27 15:10:00,59.2700,52592,59.3200,59.2700
59.3700,2020-04-27 15:09:00,59.3100,36799,59.3601,59.3188
59.3700,2020-04-27 15:08:00,59.3102,41123,59.3200,59.3666
59.4600,2020-04-27 15:07:00,59.2900,85872,59.4500,59.3200
59.5200,2020-04-27 15:06:00,59.4400,94582,59.4950,59.4500
59.5000,2020-04-27 15:05:00,59.4700,64535,59.4900,59.5000
59.5300,2020-04-27 15:04:00,59.4600,222049,59.4650,59.4910
59.4800,2020-04-27 15:03:00,59.4000,64898,59.4250,59.4700
59.4300,2020-04-27 15:02:00,59.3510,70786,59.3550,59.4250
59.3600,2020-04-27 15:01:00,59.2500,89410,59.2900,59.3550
59.3642,2020-04-27 15:00:00,59.2900,31393,59.3642,59.2900
59.4050,2020-04-27 14:59:00,59.3400,48965,59.4032,59.3690
59.4300,2020-04-27 14:58:00,59.3500,73345,59.3600,59.4100
59.3600,2020-04-27 14:57:00,59.2900,82664,59.2952,59.3500
59.3300,2020-04-27 14:56:00,59.2700,69620,59.2900,59.2900
59.2900,2020-04-27 14:55:00,59.2300,40792,59.2800,59.2900
59.2950,2020-04-27 14:54:00,59.2600,59721,59.2800,59.2750
59.2800,2020-04-27 14:53:00,59.2600,43065,59.2700,59.2750
59.2700,2020-04-27 14:52:00,59.2200,33028,59.2450,59.2650
59.2900,2020-04-27 14:51:00,59.2200,46247,59.2700,59.2404
59.2700,2020-04-27 14:50:00,59.1900,82072,59.1900,59.2700
59.2100,2020-04-27 14:49:00,59.1700,54830,59.1700,59.2000
59.1700,2020-04-27 14:48:00,59.1450,36669,59.1550,59.1600
59.1600,2020-04-27 14:47:00,59.1300,39168,59.1401,59.1550
59.1500,2020-04-27 14:46:00,59.1000,60288,59.1000,59.1450
59.1300,2020-04-27 14:45:00,59.0900,22801,59.1300,59.1100
59.1350,2020-04-27 14:44:00,59.0800,41945,59.1350,59.1216
59.1465,2020-04-27 14:43:00,59.0870,43998,59.1000,59.1300
59.1050,2020-04-27 14:42:00,59.0700,36839,59.0700,59.0900
59.0800,2020-04-27 14:41:00,58.9923,35171,58.9923,59.0728
59.0000,2020-04-27 14:40:00,58.9600,13106,58.9998,59.0000
59.0102,2020-04-27 14:39:00,58.9750,41911,58.9750,59.0000
59.0037,2020-04-27 14:38:00,58.9500,14204,58.9900,58.9700
59.0000,2020-04-27 14:37:00,58.9700,9389,58.9800,58.9900
58.9800,2020-04-27 14:36:00,58.9400,27509,58.9600,58.9650
58.9700,2020-04-27 14:35:00,58.9195,20640,58.9700,58.9600
59.0300,2020-04-27 14:34:00,58.9600,23493,58.9935,58.9600
59.0200,2020-04-27 14:33:00,58.9900,27226,59.0071,58.9950
59.0100,2020-04-27 14:32:00,58.9350,29115,58.9350,59.0000
58.9900,2020-04-27 14:31:00,58.9200,24780,58.9600,58.9395
59.0150,2020-04-27 14:30:00,58.9500,17419,58.9550,58.9500
59.0400,2020-04-27 14:29:00,58.9600,27630,59.0300,58.9600
59.0600,2020-04-27 14:28:00,59.0250,11937,59.0400,59.0300
59.0400,2020-04-27 14:27:00,59.0214,10014,59.0300,59.0350
59.0600,2020-04-27 14:26:00,59.0200,24655,59.0450,59.0450
