high,time,low,volume,open,close
174.3600,2020-04-27 16:00:00,173.9800,518024,174.0300,174.0400
174.1900,2020-04-27 15:59:00,174.0000,146852,174.0500,174.0200
174.0900,2020-04-27 15:58:00,173.9500,134121,173.9700,174.0600
174.0000,2020-04-27 15:57:00,173.8200,92430,173.9100,173.9650
174.2000,2020-04-27 15:56:00,173.8600,162085,174.1900,173.9000
174.3000,2020-04-27 15:55:00,174.1000,107786,174.1800,174.1900
174.2050,2020-04-27 15:54:00,174.0900,87169,174.0990,174.1700
174.2600,2020-04-27 15:53:00,174.0400,110842,174.2300,174.1000
174.4199,2020-04-27 15:52:00,174.2300,78345,174.3400,174.2350
174.5000,2020-04-27 15:51:00,174.0100,180275,174.2600,174.3350
174.3400,2020-04-27 15:50:00,174.1650,79121,174.1700,174.2600
174.2500,2020-04-27 15:49:00,174.1300,55952,174.1700,174.1500
174.3500,2020-04-27 15:48:00,174.1620,71095,174.3400,174.1800
174.4200,2020-04-27 15:47:00,174.3300,61708,174.3500,174.3300
174.6400,2020-04-27 15:46:00,174.3300,87570,174.6200,174.3598
174.6400,2020-04-27 15:45:00,174.5500,54807,174.5700,174.6400
174.6400,2020-04-27 15:44:00,174.5300,76432,174.5550,174.5800
174.5600,2020-04-27 15:43:00,174.4400,60686,174.4600,174.5600
174.5360,2020-04-27 15:42:00,174.4100,62213,174.4800,174.4650
174.4900,2020-04-27 15:41:00,174.3600,45435,174.3950,174.4800
174.5600,2020-04-27 15:40:00,174.3800,45494,174.5500,174.4000
174.5800,2020-04-27 15:39:00,174.4999,58789,174.5000,174.5650
174.6300,2020-04-27 15:38:00,174.4800,70688,174.5700,174.5000
174.6700,2020-04-27 15:37:00,174.5600,69524,174.6700,174.5600
174.7400,2020-04-27 15:36:00,174.6650,39835,174.7000,174.6705
174.7600,2020-04-27 15:35:00,174.6300,74815,174.6300,174.7000
174.6700,2020-04-27 15:34:00,174.4300,55315,174.4300,174.6389
174.5550,2020-04-27 15:33:00,174.4100,27439,174.5550,174.4300
174.6000,2020-04-27 15:32:00,174.4650,46534,174.5001,174.5700
174.5400,2020-04-27 15:31:00,174.3901,104434,174.3901,174.5200
174.3955,2020-04-27 15:30:00,174.3200,30152,174.3515,174.3910
174.4100,2020-04-27 15:29:00,174.3400,40708,174.3500,174.3500
174.4200,2020-04-27 15:28:00,174.3203,55023,174.3250,174.3500
174.3999,2020-04-27 15:27:00,174.3000,33071,174.3400,174.3250
174.4600,2020-04-27 15:26:00,174.3000,52722,174.3900,174.3450
174.5150,2020-04-27 15:25:00,174.3700,78475,174.4450,174.3850
174.5300,2020-04-27 15:24:00,174.4200,45283,174.4800,174.4450
174.5100,2020-04-27 15:23:00,174.4300,41372,174.5040,174.4700
174.5700,2020-04-27 15:22:00,174.4300,58523,174.5600,174.5000
174.5900,2020-04-27 15:21:00,174.4500,68174,174.4500,174.5600
174.5400,2020-04-27 15:20:00,174.3600,64583,174.3900,174.4452
174.5100,2020-04-27 15:19:00,174.3900,50975,174.4100,174.4000
174.4600,2020-04-27 15:18:00,174.3700,42148,174.3701,174.4200
