high,time,low,volume,open,close
45.3200,2020-04-27 16:00:00,45.2600,226541,45.3000,45.2800
45.3000,2020-04-27 15:59:00,45.2700,90888,45.2800,45.2950
45.2900,2020-04-27 15:58:00,45.2550,54134,45.2800,45.2750
45.2900,2020-04-27 15:57:00,45.2500,56494,45.2550,45.2800
45.3000,2020-04-27 15:56:00,45.2400,52803,45.3000,45.2450
45.3200,2020-04-27 15:55:00,45.2617,57091,45.2950,45.3000
45.3250,2020-04-27 15:54:00,45.1950,168219,45.1950,45.2950
45.2550,2020-04-27 15:53:00,45.1900,52957,45.2450,45.1992
45.2850,2020-04-27 15:52:00,45.2400,42495,45.2400,45.2476
45.3200,2020-04-27 15:51:00,45.1750,74788,45.3035,45.2350
45.3100,2020-04-27 15:50:00,45.2500,43686,45.2550,45.3050
45.3000,2020-04-27 15:49:00,45.2500,43557,45.2750,45.2550
45.3000,2020-04-27 15:48:00,45.2500,40525,45.3000,45.2783
45.3250,2020-04-27 15:47:00,45.2900,29283,45.3000,45.2950
45.3385,2020-04-27 15:46:00,45.2800,25937,45.3385,45.2965
45.3400,2020-04-27 15:45:00,45.3000,33763,45.3223,45.3300
45.3499,2020-04-27 15:44:00,45.3200,39870,45.3400,45.3299
45.3400,2020-04-27 15:43:00,45.2750,76410,45.2750,45.3310
45.2800,2020-04-27 15:42:00,45.2500,40626,45.2600,45.2800
45.2600,2020-04-27 15:41:00,45.2100,25182,45.2100,45.2550
45.2450,2020-04-27 15:40:00,45.1950,28242,45.2400,45.2100
45.2600,2020-04-27 15:39:00,45.2300,53028,45.2350,45.2432
45.2500,2020-04-27 15:38:00,45.2300,13248,45.2450,45.2400
45.2400,2020-04-27 15:37:00,45.2100,25103,45.2200,45.2400
45.2400,2020-04-27 15:36:00,45.1700,62804,45.1800,45.2250
45.2000,2020-04-27 15:35:00,45.1600,32923,45.1750,45.1800
45.1900,2020-04-27 15:34:00,45.1300,20462,45.1300,45.1700
45.1700,2020-04-27 15:33:00,45.1250,14058,45.1700,45.1250
45.1900,2020-04-27 15:32:00,45.1200,43027,45.1200,45.1750
45.1400,2020-04-27 15:31:00,45.0901,30373,45.0950,45.1294
45.1098,2020-04-27 15:30:00,45.0800,17300,45.0800,45.0900
45.1300,2020-04-27 15:29:00,45.0755,38585,45.1140,45.0800
45.1500,2020-04-27 15:28:00,45.1100,17422,45.1200,45.1167
45.1550,2020-04-27 15:27:00,45.1200,17075,45.1400,45.1350
45.1750,2020-04-27 15:26:00,45.1400,15466,45.1716,45.1400
45.1950,2020-04-27 15:25:00,45.1500,21933,45.1800,45.1750
45.1936,2020-04-27 15:24:00,45.1700,23596,45.1700,45.1750
45.1900,2020-04-27 15:23:00,45.1600,23044,45.1700,45.1600
45.1900,2020-04-27 15:22:00,45.1500,17991,45.1850,45.1700
45.1900,2020-04-27 15:21:00,45.1550,27578,45.1589,45.1800
45.1600,2020-04-27 15:20:00,45.1000,12172,45.1100,45.1550
45.1450,2020-04-27 15:19:00,45.1000,33694,45.1095,45.1100
45.1500,2020-04-27 15:18:00,45.0800,26022,45.1300,45.1000
45.1510,2020-04-27 15:17:00,45.1200,32391,45.1510,45.1200
45.2000,2020-04-27 15:16:00,45.1400,24675,45.1601,45.1600
45.1867,2020-04-27 15:15:00,45.1700,12977,45.1700,45.1750
45.1901,2020-04-27 15:14:00,45.1600,28211,45.1900,45.1700
45.2000,2020-04-27 15:13:00,45.1600,40195,45.1800,45.1900
45.1900,2020-04-27 15:12:00,45.1601,24359,45.1650,45.1900
45.1700,2020-04-27 15:11:00,45.1500,18840,45.1550,45.1700
45.1800,2020-04-27 15:10:00,45.1500,31020,45.1700,45.1500
45.1700,2020-04-27 15:09:00,45.1500,18932,45.1541,45.1650
45.1700,2020-04-27 15:08:00,45.1000,36677,45.1000,45.1542
45.1050,2020-04-27 15:07:00,45.0550,76316,45.0600,45.0950
45.0900,2020-04-27 15:06:00,45.0452,47526,45.0700,45.0600
45.0850,2020-04-27 15:05:00,45.0500,40230,45.0800,45.0700
45.0800,2020-04-27 15:04:00,45.0400,17068,45.0600,45.0800
45.0600,2020-04-27 15:03:00,45.0300,14090,45.0512,45.0600
45.0550,2020-04-27 15:02:00,45.0134,20488,45.0134,45.0450
45.0200,2020-04-27 15:01:00,44.9800,13435,45.0100,45.0150
45.0200,2020-04-27 15:00:00,44.9900,15028,45.0200,45.0100
45.0350,2020-04-27 14:59:00,44.9900,17743,45.0300,45.0150
45.0300,2020-04-27 14:58:00,44.9850,14894,44.9850,45.0300
45.0000,2020-04-27 14:57:00,44.9500,15104,44.9500,44.9900
44.9700,2020-04-27 14:56:00,44.9300,17488,44.9700,44.9500
44.9801,2020-04-27 14:55:00,44.9274,31333,44.9801,44.9560
44.9900,2020-04-27 14:54:00,44.9601,16533,44.9900,44.9800
44.9900,2020-04-27 14:53:00,44.9500,9785,44.9700,44.9900
44.9800,2020-04-27 14:52:00,44.9550,9888,44.9800,44.9700
44.9900,2020-04-27 14:51:00,44.9300,16593,44.9900,44.9800
45.0100,2020-04-27 14:50:00,44.9650,29268,44.9650,44.9900
44.9700,2020-04-27 14:49:00,44.9300,12027,44.9300,44.9700
44.9500,2020-04-27 14:48:00,44.9150,24212,44.9250,44.9300
44.9200,2020-04-27 14:47:00,44.9000,10469,44.9000,44.9200
44.9250,2020-04-27 14:46:00,44.8900,26686,44.9157,44.9100
44.9200,2020-04-27 14:45:00,44.8801,22111,44.8801,44.9150
44.9000,2020-04-27 14:44:00,44.8600,28886,44.8900,44.8856
44.9100,2020-04-27 14:43:00,44.8850,24564,44.9000,44.9050
44.9050,2020-04-27 14:42:00,44.8800,25658,44.8800,44.9000
44.8900,2020-04-27 14:41:00,44.8400,22297,44.8400,44.8800
44.8400,2020-04-27 14:40:00,44.8050,11126,44.8201,44.8350
44.8400,2020-04-27 14:39:00,44.7900,20774,44.7900,44.8300
44.7851,2020-04-27 14:38:00,44.7750,5088,44.7800,44.7851
44.7800,2020-04-27 14:37:00,44.7600,17777,44.7600,44.7750
44.7900,2020-04-27 14:36:00,44.7400,13227,44.7800,44.7500
44.7950,2020-04-27 14:35:00,44.7600,15730,44.7900,44.7872
44.8300,2020-04-27 14:34:00,44.7901,8840,44.8200,44.8050
44.8200,2020-04-27 14:33:00,44.7700,19631,44.7700,44.8150
44.7750,2020-04-27 14:32:00,44.7399,14383,44.7400,44.7700
44.7800,2020-04-27 14:31:00,44.7250,11255,44.7700,44.7300
44.8085,2020-04-27 14:30:00,44.7500,18578,44.7900,44.7700
44.8599,2020-04-27 14:29:00,44.7900,19046,44.8400,44.7900
44.8700,2020-04-27 14:28:00,44.8301,5757,44.8500,44.8350
44.8850,2020-04-27 14:27:00,44.8300,13309,44.8850,44.8400
44.9000,2020-04-27 14:26:00,44.8600,17080,44.8900,44.8864
44.8900,2020-04-27 14:25:00,44.8400,21082,44.8400,44.8800
44.8400,2020-04-27 14:24:00,44.8180,5232,44.8250,44.8342
44.8550,2020-04-27 14:23:00,44.8200,14365,44.8400,44.8300
44.8650,2020-04-27 14:22:00,44.8300,25534,44.8600,44.8401
44.8598,2020-04-27 14:21:00,44.8150,12901,44.8200,44.8550
44.8500,2020-04-27 14:20:00,44.8100,18944,44.8150,44.8100
44.8400,2020-04-27 14:19:00,44.8100,10424,44.8310,44.8100
44.8400,2020-04-27 14:18:00,44.8000,29454,44.8000,44.8400
44.8000,2020-04-27 14:17:00,44.7701,9947,44.8000,44.8000
44.8486,2020-04-27 14:16:00,44.7900,15356,44.8400,44.8000
44.8750,2020-04-27 14:15:00,44.8350,11322,44.8601,44.8400
44.8900,2020-04-27 14:14:00,44.8600,15576,44.8900,44.8600
44.8998,2020-04-27 14:13:00,44.8800,15448,44.8901,44.8820
44.8900,2020-04-27 14:12:00,44.8550,23413,44.8600,44.8900
44.8700,2020-04-27 14:11:00,44.8050,30569,44.8200,44.8700
44.8400,2020-04-27 14:10:00,44.8186,13003,44.8220,44.8300
44.8500,2020-04-27 14:09:00,44.8100,22854,44.8400,44.8300
44.8500,2020-04-27 14:08:00,44.7900,16475,44.7900,44.8400
44.8200,2020-04-27 14:07:00,44.7850,21048,44.7900,44.7950
44.8200,2020-04-27 14:06:00,44.7701,48836,44.7900,44.7900
44.8150,2020-04-27 14:05:00,44.7750,48250,44.8150,44.8000
44.8200,2020-04-27 14:04:00,44.8000,18712,44.8200,44.8101
44.8400,2020-04-27 14:03:00,44.8200,6585,44.8300,44.8250
44.8400,2020-04-27 14:02:00,44.8000,15095,44.8193,44.8100
44.8200,2020-04-27 14:01:00,44.7300,50776,44.7300,44.8150
44.7500,2020-04-27 14:00:00,44.7200,15466,44.7200,44.7300
44.7463,2020-04-27 13:59:00,44.7103,14145,44.7400,44.7103
44.7551,2020-04-27 13:58:00,44.7400,4556,44.7500,44.7500
44.7800,2020-04-27 13:57:00,44.7500,4329,44.7500,44.7650
44.7900,2020-04-27 13:56:00,44.7300,18541,44.7400,44.7600
44.7500,2020-04-27 13:55:00,44.7000,21088,44.7300,44.7499
44.7700,2020-04-27 13:54:00,44.7200,17940,44.7700,44.7400
44.8000,2020-04-27 13:53:00,44.7600,23668,44.7600,44.7701
44.7700,2020-04-27 13:52:00,44.7100,18575,44.7100,44.7501
44.7500,2020-04-27 13:51:00,44.6900,49022,44.7400,44.7200
44.7500,2020-04-27 13:50:00,44.7050,21674,44.7050,44.7450
44.7200,2020-04-27 13:49:00,44.6900,14401,44.7000,44.6918
44.7500,2020-04-27 13:48:00,44.6800,38834,44.6946,44.6949
44.7150,2020-04-27 13:47:00,44.6800,14314,44.7150,44.7000
44.7300,2020-04-27 13:46:00,44.6850,10275,44.7200,44.7130
44.7550,2020-04-27 13:45:00,44.7150,24464,44.7500,44.7200
44.7900,2020-04-27 13:44:00,44.7500,10919,44.7590,44.7500
44.7550,2020-04-27 13:43:00,44.7300,11083,44.7550,44.7450
44.7777,2020-04-27 13:42:00,44.7300,12466,44.7400,44.7521
44.7698,2020-04-27 13:41:00,44.7200,19908,44.7200,44.7400
44.7600,2020-04-27 13:40:00,44.7020,12404,44.7020,44.7350
44.7700,2020-04-27 13:39:00,44.6900,23485,44.7400,44.7150
44.7500,2020-04-27 13:38:00,44.6900,27324,44.7200,44.7300
44.7300,2020-04-27 13:37:00,44.6650,25969,44.6999,44.7202
44.7300,2020-04-27 13:36:00,44.6500,46742,44.7005,44.6950
44.7099,2020-04-27 13:35:00,44.6700,23336,44.7099,44.7050
44.7500,2020-04-27 13:34:00,44.7000,18999,44.7400,44.7000
44.7850,2020-04-27 13:33:00,44.7300,19636,44.7850,44.7300
44.8000,2020-04-27 13:32:00,44.7800,9992,44.7950,44.7850
44.8200,2020-04-27 13:31:00,44.7800,26554,44.8150,44.7910
44.8800,2020-04-27 13:30:00,44.8301,14696,44.8800,44.8400
44.8900,2020-04-27 13:29:00,44.8499,11701,44.8600,44.8850
44.9000,2020-04-27 13:28:00,44.8435,25549,44.8500,44.8800
44.8450,2020-04-27 13:27:00,44.7850,23649,44.7850,44.8400
44.7950,2020-04-27 13:26:00,44.7400,23961,44.7600,44.7900
44.7800,2020-04-27 13:25:00,44.7400,20643,44.7800,44.7616
44.8000,2020-04-27 13:24:00,44.7700,21358,44.7900,44.7850
44.8500,2020-04-27 13:23:00,44.8000,20206,44.8100,44.8000
44.8292,2020-04-27 13:22:00,44.7953,24874,44.8000,44.8000
44.8250,2020-04-27 13:21:00,44.7900,17362,44.8250,44.7900
44.8550,2020-04-27 13:20:00,44.8140,22954,44.8499,44.8250
44.8600,2020-04-27 13:19:00,44.8300,13696,44.8500,44.8447
44.8750,2020-04-27 13:18:00,44.8400,24393,44.8750,44.8450
44.8583,2020-04-27 13:17:00,44.8200,8700,44.8350,44.8450
