high,time,low,volume,open,close
53.4300,2020-04-27 16:00:00,53.3500,190577,53.4100,53.3600
53.4700,2020-04-27 15:59:00,53.4000,102555,53.4300,53.4100
53.4600,2020-04-27 15:58:00,53.4100,66090,53.4500,53.4300
53.4600,2020-04-27 15:57:00,53.4200,45200,53.4250,53.4500
53.4800,2020-04-27 15:56:00,53.4200,71207,53.4800,53.4200
53.4800,2020-04-27 15:55:00,53.4400,48461,53.4500,53.4800
53.4600,2020-04-27 15:54:00,53.4150,35682,53.4150,53.4450
53.4400,2020-04-27 15:53:00,53.4001,37451,53.4250,53.4150
53.4600,2020-04-27 15:52:00,53.4200,28507,53.4500,53.4200
53.4500,2020-04-27 15:51:00,53.3600,66991,53.4500,53.4450
53.4650,2020-04-27 15:50:00,53.4150,54843,53.4200,53.4500
53.4300,2020-04-27 15:49:00,53.4100,24592,53.4150,53.4150
53.4350,2020-04-27 15:48:00,53.4100,25490,53.4350,53.4150
53.4600,2020-04-27 15:47:00,53.4300,44080,53.4500,53.4300
53.5450,2020-04-27 15:46:00,53.4400,55567,53.5450,53.4400
53.5900,2020-04-27 15:45:00,53.5300,96978,53.5850,53.5500
53.5983,2020-04-27 15:44:00,53.5800,13096,53.5900,53.5850
53.5900,2020-04-27 15:43:00,53.5250,31773,53.5301,53.5900
53.5500,2020-04-27 15:42:00,53.5250,27036,53.5300,53.5300
53.5300,2020-04-27 15:41:00,53.5100,12969,53.5100,53.5250
53.5700,2020-04-27 15:40:00,53.5103,30489,53.5650,53.5150
53.5900,2020-04-27 15:39:00,53.5550,45922,53.5709,53.5700
53.5900,2020-04-27 15:38:00,53.5700,9169,53.5850,53.5700
53.6050,2020-04-27 15:37:00,53.5800,16935,53.6050,53.5850
53.6200,2020-04-27 15:36:00,53.6050,23169,53.6050,53.6050
53.6150,2020-04-27 15:35:00,53.5900,19142,53.5900,53.6050
53.6200,2020-04-27 15:34:00,53.5600,29612,53.5600,53.6000
53.6200,2020-04-27 15:33:00,53.5600,20474,53.6200,53.5600
53.6250,2020-04-27 15:32:00,53.6000,21993,53.6150,53.6200
53.6400,2020-04-27 15:31:00,53.6050,42939,53.6150,53.6200
53.6200,2020-04-27 15:30:00,53.5700,13334,53.5700,53.6150
53.5700,2020-04-27 15:29:00,53.5250,21979,53.5300,53.5650
53.5400,2020-04-27 15:28:00,53.5200,11703,53.5400,53.5300
53.5400,2020-04-27 15:27:00,53.5200,12490,53.5350,53.5310
53.5450,2020-04-27 15:26:00,53.5200,12399,53.5450,53.5400
53.5650,2020-04-27 15:25:00,53.5400,16504,53.5450,53.5450
53.5650,2020-04-27 15:24:00,53.5400,20211,53.5500,53.5450
53.5500,2020-04-27 15:23:00,53.5316,7881,53.5350,53.5500
53.5475,2020-04-27 15:22:00,53.5300,11524,53.5400,53.5350
53.5450,2020-04-27 15:21:00,53.5150,18225,53.5150,53.5400
53.5200,2020-04-27 15:20:00,53.5000,23623,53.5100,53.5100
53.5150,2020-04-27 15:19:00,53.4800,26552,53.4950,53.5050
53.5000,2020-04-27 15:18:00,53.4700,24424,53.4700,53.4950
53.4850,2020-04-27 15:17:00,53.4600,20641,53.4850,53.4800
53.4850,2020-04-27 15:16:00,53.4650,21669,53.4800,53.4800
53.4900,2020-04-27 15:15:00,53.4700,7327,53.4900,53.4750
53.5000,2020-04-27 15:14:00,53.4805,13728,53.4950,53.4899
53.5100,2020-04-27 15:13:00,53.4800,12469,53.5050,53.4900
53.5100,2020-04-27 15:12:00,53.4910,12926,53.5000,53.5050
53.5000,2020-04-27 15:11:00,53.4700,7651,53.4800,53.5000
53.5100,2020-04-27 15:10:00,53.4700,8619,53.5000,53.4700
53.5100,2020-04-27 15:09:00,53.4933,16386,53.4950,53.5000
53.5000,2020-04-27 15:08:00,53.4800,12957,53.4900,53.4900
53.5400,2020-04-27 15:07:00,53.4700,27605,53.5300,53.4850
53.5800,2020-04-27 15:06:00,53.5300,14953,53.5700,53.5300
53.6050,2020-04-27 15:05:00,53.5700,20138,53.6000,53.5700
53.6000,2020-04-27 15:04:00,53.5300,31406,53.5350,53.6000
53.5300,2020-04-27 15:03:00,53.5000,7135,53.5100,53.5300
53.5200,2020-04-27 15:02:00,53.4750,12643,53.4800,53.5100
53.4900,2020-04-27 15:01:00,53.4650,8952,53.4800,53.4891
53.4850,2020-04-27 15:00:00,53.4600,10574,53.4800,53.4800
53.5100,2020-04-27 14:59:00,53.4800,18422,53.5100,53.4850
53.5200,2020-04-27 14:58:00,53.5050,9883,53.5050,53.5100
53.5150,2020-04-27 14:57:00,53.5000,6757,53.5000,53.5050
53.5200,2020-04-27 14:56:00,53.4900,9650,53.5200,53.5000
53.5300,2020-04-27 14:55:00,53.5050,11255,53.5300,53.5100
53.5300,2020-04-27 14:54:00,53.5100,7253,53.5150,53.5250
53.5200,2020-04-27 14:53:00,53.5050,4514,53.5100,53.5200
53.5300,2020-04-27 14:52:00,53.5100,12060,53.5150,53.5200
53.5400,2020-04-27 14:51:00,53.5100,21050,53.5350,53.5200
53.5400,2020-04-27 14:50:00,53.5200,9457,53.5350,53.5400
53.5450,2020-04-27 14:49:00,53.5200,13691,53.5400,53.5300
53.5500,2020-04-27 14:48:00,53.5400,4529,53.5400,53.5400
53.5550,2020-04-27 14:47:00,53.5300,14733,53.5450,53.5450
53.5450,2020-04-27 14:46:00,53.5300,14691,53.5300,53.5400
53.5400,2020-04-27 14:45:00,53.5250,7817,53.5300,53.5300
53.5600,2020-04-27 14:44:00,53.5200,27193,53.5550,53.5400
53.5700,2020-04-27 14:43:00,53.5450,10607,53.5500,53.5650
53.5700,2020-04-27 14:42:00,53.5450,10405,53.5500,53.5500
53.5500,2020-04-27 14:41:00,53.4750,14138,53.4750,53.5450
53.4850,2020-04-27 14:40:00,53.4650,8422,53.4701,53.4700
53.4750,2020-04-27 14:39:00,53.4400,15493,53.4400,53.4700
53.4550,2020-04-27 14:38:00,53.4300,10885,53.4500,53.4300
53.4500,2020-04-27 14:37:00,53.4300,19423,53.4300,53.4400
53.4500,2020-04-27 14:36:00,53.4300,19310,53.4450,53.4300
53.4600,2020-04-27 14:35:00,53.4300,14869,53.4600,53.4400
53.4750,2020-04-27 14:34:00,53.4450,9644,53.4600,53.4550
53.4600,2020-04-27 14:33:00,53.4450,13634,53.4500,53.4600
53.4500,2020-04-27 14:32:00,53.4000,7656,53.4000,53.4400
53.4100,2020-04-27 14:31:00,53.3882,20424,53.3882,53.3950
53.4000,2020-04-27 14:30:00,53.3800,7188,53.3850,53.3850
53.4000,2020-04-27 14:29:00,53.3800,7112,53.3900,53.3850
53.4100,2020-04-27 14:28:00,53.3900,8949,53.4000,53.3900
53.4100,2020-04-27 14:27:00,53.3900,17440,53.4000,53.3900
53.4200,2020-04-27 14:26:00,53.4000,21810,53.4100,53.4050
53.4200,2020-04-27 14:25:00,53.4050,10955,53.4163,53.4050
53.4350,2020-04-27 14:24:00,53.4100,12186,53.4300,53.4100
53.4600,2020-04-27 14:23:00,53.4300,11509,53.4550,53.4350
53.4700,2020-04-27 14:22:00,53.4500,16157,53.4500,53.4550
53.4800,2020-04-27 14:21:00,53.4500,19695,53.4600,53.4550
53.4700,2020-04-27 14:20:00,53.4400,22194,53.4400,53.4700
53.4500,2020-04-27 14:19:00,53.4300,13604,53.4350,53.4340
53.4500,2020-04-27 14:18:00,53.4200,18278,53.4300,53.4350
53.4300,2020-04-27 14:17:00,53.4150,41619,53.4267,53.4200
53.4400,2020-04-27 14:16:00,53.4100,13491,53.4300,53.4200
53.4400,2020-04-27 14:15:00,53.4129,18581,53.4300,53.4250
53.4250,2020-04-27 14:14:00,53.3950,5027,53.4000,53.4250
53.4000,2020-04-27 14:13:00,53.3700,7672,53.3800,53.4000
53.3800,2020-04-27 14:12:00,53.3500,5400,53.3500,53.3760
53.3800,2020-04-27 14:11:00,53.3350,19602,53.3350,53.3550
53.3327,2020-04-27 14:10:00,53.2650,10619,53.2700,53.3300
53.2700,2020-04-27 14:09:00,53.2600,13260,53.2650,53.2700
53.2700,2020-04-27 14:08:00,53.2500,12112,53.2550,53.2650
53.2600,2020-04-27 14:07:00,53.2500,8159,53.2500,53.2550
53.2700,2020-04-27 14:06:00,53.2450,12993,53.2500,53.2550
53.2700,2020-04-27 14:05:00,53.2450,26985,53.2650,53.2550
53.2700,2020-04-27 14:04:00,53.2600,8401,53.2650,53.2650
53.2900,2020-04-27 14:03:00,53.2600,8174,53.2800,53.2650
53.2850,2020-04-27 14:02:00,53.2650,13628,53.2650,53.2800
53.2750,2020-04-27 14:01:00,53.2450,24007,53.2450,53.2666
53.2600,2020-04-27 14:00:00,53.2400,21210,53.2600,53.2500
53.2600,2020-04-27 13:59:00,53.2437,5377,53.2437,53.2550
53.2600,2020-04-27 13:58:00,53.2350,15196,53.2400,53.2500
53.2550,2020-04-27 13:57:00,53.2350,6356,53.2350,53.2450
53.2550,2020-04-27 13:56:00,53.2200,14892,53.2200,53.2400
53.2200,2020-04-27 13:55:00,53.2000,8372,53.2050,53.2150
53.2050,2020-04-27 13:54:00,53.1900,4165,53.2000,53.2050
53.2100,2020-04-27 13:53:00,53.1600,17507,53.1600,53.1950
53.1800,2020-04-27 13:52:00,53.1600,21939,53.1650,53.1650
53.1700,2020-04-27 13:51:00,53.1500,11584,53.1500,53.1650
53.1500,2020-04-27 13:50:00,53.1300,17562,53.1400,53.1500
53.1500,2020-04-27 13:49:00,53.1400,5146,53.1450,53.1400
53.1700,2020-04-27 13:48:00,53.1450,8426,53.1500,53.1650
53.1800,2020-04-27 13:47:00,53.1500,9744,53.1800,53.1500
53.1900,2020-04-27 13:46:00,53.1600,7319,53.1900,53.1850
53.2100,2020-04-27 13:45:00,53.1900,20493,53.2000,53.1950
53.2200,2020-04-27 13:44:00,53.2050,13515,53.2100,53.2050
53.2200,2020-04-27 13:43:00,53.2000,10234,53.2200,53.2050
53.2300,2020-04-27 13:42:00,53.2200,5187,53.2250,53.2250
53.2350,2020-04-27 13:41:00,53.2200,12524,53.2273,53.2300
53.2300,2020-04-27 13:40:00,53.2150,7996,53.2150,53.2230
53.2400,2020-04-27 13:39:00,53.2150,14501,53.2300,53.2150
53.2400,2020-04-27 13:38:00,53.2050,17486,53.2200,53.2400
53.2200,2020-04-27 13:37:00,53.1900,16764,53.1950,53.2150
53.2400,2020-04-27 13:36:00,53.1800,29469,53.2350,53.1900
53.2500,2020-04-27 13:35:00,53.2250,18096,53.2500,53.2300
53.2700,2020-04-27 13:34:00,53.2533,8498,53.2600,53.2600
53.2900,2020-04-27 13:33:00,53.2650,14005,53.2800,53.2650
53.3050,2020-04-27 13:32:00,53.2800,8411,53.3050,53.2800
53.3100,2020-04-27 13:31:00,53.2900,20793,53.2900,53.3050
53.3200,2020-04-27 13:30:00,53.3050,8151,53.3100,53.3100
53.3000,2020-04-27 13:29:00,53.2700,14034,53.2933,53.3000
53.3000,2020-04-27 13:28:00,53.2750,4613,53.2900,53.3000
53.2900,2020-04-27 13:27:00,53.2500,9231,53.2500,53.2800
53.2700,2020-04-27 13:26:00,53.2400,25405,53.2500,53.2600
53.2600,2020-04-27 13:25:00,53.2400,7978,53.2570,53.2537
53.2800,2020-04-27 13:24:00,53.2600,8203,53.2800,53.2600
53.3084,2020-04-27 13:23:00,53.2842,5926,53.2950,53.2842
53.3100,2020-04-27 13:22:00,53.2800,12706,53.3000,53.2900
53.3050,2020-04-27 13:21:00,53.2900,4355,53.2900,53.3050
53.3100,2020-04-27 13:20:00,53.2750,25968,53.3000,53.2800
53.3300,2020-04-27 13:19:00,53.3000,22542,53.3300,53.3000
53.3350,2020-04-27 13:18:00,53.3200,12377,53.3300,53.3200
53.3350,2020-04-27 13:17:00,53.3150,20468,53.3200,53.3200
53.3600,2020-04-27 13:16:00,53.3250,12432,53.3550,53.3300
53.3650,2020-04-27 13:15:00,53.3450,28342,53.3550,53.3550
53.3700,2020-04-27 13:14:00,53.3500,18705,53.3650,53.3600
53.3700,2020-04-27 13:13:00,53.3450,13260,53.3450,53.3700
53.3600,2020-04-27 13:12:00,53.3350,10339,53.3550,53.3400
53.3800,2020-04-27 13:11:00,53.3450,15469,53.3700,53.3600
53.3700,2020-04-27 13:10:00,53.3400,6505,53.3550,53.3606
53.3700,2020-04-27 13:09:00,53.3100,20374,53.3100,53.3600
53.3150,2020-04-27 13:08:00,53.2950,26112,53.3100,53.3100
53.3300,2020-04-27 13:07:00,53.3050,23920,53.3250,53.3050
53.3600,2020-04-27 13:06:00,53.3250,23977,53.3500,53.3250
53.3600,2020-04-27 13:05:00,53.3400,35023,53.3500,53.3500
53.3600,2020-04-27 13:04:00,53.3400,6496,53.3600,53.3400
53.3850,2020-04-27 13:03:00,53.3550,10630,53.3600,53.3550
53.3750,2020-04-27 13:02:00,53.3500,14372,53.3700,53.3600
53.3850,2020-04-27 13:01:00,53.3750,4101,53.3850,53.3750
53.4000,2020-04-27 13:00:00,53.3750,15798,53.3900,53.3800
53.4000,2020-04-27 12:59:00,53.3850,11175,53.4000,53.3900
53.4200,2020-04-27 12:58:00,53.4000,26321,53.4150,53.4000
53.4150,2020-04-27 12:57:00,53.3800,22418,53.3850,53.4100
53.4000,2020-04-27 12:56:00,53.3850,11843,53.3900,53.3850
53.3950,2020-04-27 12:55:00,53.3800,9202,53.3950,53.3900
53.3950,2020-04-27 12:54:00,53.3800,5133,53.3900,53.3950
53.4018,2020-04-27 12:53:00,53.3900,3315,53.4000,53.3900
53.4200,2020-04-27 12:52:00,53.3800,25779,53.4200,53.3950
53.4299,2020-04-27 12:51:00,53.3950,13779,53.3950,53.4250
53.4000,2020-04-27 12:50:00,53.3900,4832,53.4000,53.3933
53.4050,2020-04-27 12:49:00,53.3900,47438,53.4000,53.4000
53.4100,2020-04-27 12:48:00,53.3950,12823,53.4000,53.4000
53.4100,2020-04-27 12:47:00,53.3800,65608,53.3850,53.3979
53.4050,2020-04-27 12:46:00,53.3800,9923,53.4000,53.3850
53.4200,2020-04-27 12:45:00,53.3900,13763,53.4200,53.3950
53.4250,2020-04-27 12:44:00,53.4000,7578,53.4000,53.4150
53.4200,2020-04-27 12:43:00,53.3900,9123,53.4200,53.4000
53.4250,2020-04-27 12:42:00,53.4200,6981,53.4200,53.4200
53.4200,2020-04-27 12:41:00,53.4000,6620,53.4190,53.4100
53.4200,2020-04-27 12:40:00,53.4000,17130,53.4099,53.4200
53.4300,2020-04-27 12:39:00,53.4050,15402,53.4200,53.4050
53.4300,2020-04-27 12:38:00,53.4100,11339,53.4200,53.4200
53.4600,2020-04-27 12:37:00,53.4250,13357,53.4450,53.4250
53.4500,2020-04-27 12:36:00,53.4100,28827,53.4100,53.4450
53.4050,2020-04-27 12:35:00,53.3500,41653,53.3600,53.4050
53.3600,2020-04-27 12:34:00,53.3400,6242,53.3400,53.3600
53.3400,2020-04-27 12:33:00,53.2950,23494,53.2950,53.3400
53.3050,2020-04-27 12:32:00,53.2700,7669,53.2800,53.2950
