low,high,volume,close,time,percentChange,percentVol,open
15.2600,16.2400,1165023,15.6400,2020-04-13,-0.027967681789931587,-0.7969556143278536,16.1000
15.8000,17.7200,5737775,16.0900,2020-04-09,0.01835443037974671,0.15898748434305676,16.7500
14.1500,15.8350,4950679,15.8000,2020-04-08,0.13587347232207048,-0.32983546400633845,14.3000
13.7300,15.7000,7387259,13.9100,2020-04-07,0.028846153846153966,-0.04435798360006582,14.8500
12.6400,13.8700,7730153,13.5200,2020-04-06,0.15852613538988858,1.2157955867270451,12.8300
11.3500,12.6500,3488658,11.6700,2020-04-03,-0.06565252201761407,-0.43056561199712984,12.4300
11.6000,13.0900,6126532,12.4900,2020-04-02,0.044314381270903036,0.17287063782081713,11.6900
11.5,12.175,2306782,11.98,2020-04-01,-0.08199233716475096,-0.6796457355248543,12.04
12.78,14.75,7200722,13.05,2020-03-31,-0.09626038781163426,0.1637978155765829,14.56
13.2500,14.8600,6187262,14.4400,2020-03-30,0.014044943820224587,0.14835135873519278,14.0000
13.5000,14.8200,5387952,14.2400,2020-03-27,-0.06988896146309598,-0.50373112229517,14.2300
14.75,16.47,10856921,15.31,2020-03-26,0.055862068965517375,0.2715526641195607,15.75
14.3800,16.6999,8538318,14.5000,2020-03-25,-0.03268845897264849,0.049977846513909574,15.0000
11.6900,15.6800,8131903,14.9900,2020-03-24,0.3828413284132841,0.28278082816068784,11.6900
10.27,11.48,6339277,10.84,2020-03-23,-0.07112253641816624,-0.33075101150996733,11.47
11.5400,13.9600,9472225,11.6700,2020-03-20,-0.06415396952686447,0.23227748793607916,12.9500
8.83,13.3,7686763,12.47,2020-03-19,0.339419978517723,-0.15701952305157152,9.0
7.9,9.74,9118554,9.31,2020-03-18,-0.06899999999999995,0.182142615454143,9.29
9.8000,11.3900,7713582,10.0000,2020-03-17,-0.07834101382488479,-0.0051871327124421995,11.3500
10.79,13.2979,7753802,10.85,2020-03-16,-0.2833553500660503,0.053335541309970536,12.64
12.9700,15.2100,7361189,15.1400,2020-03-13,0.1273268801191363,0.011462998800180868,14.7900
13.42,15.33,7277764,13.43,2020-03-12,-0.18259281801582472,-0.5096298070117127,15.15
16.075,18.01,14841367,16.43,2020-03-11,0.029448621553884724,23.267213991278343,17.78
15.1100,17.0400,8051343,16.4300,2020-03-10,0.05051150895140655,0.7006298673729967,16.8200
15.6000,18.1500,4734330,15.6400,2020-03-09,-0.17813977929584868,-0.428494826210679,17.3600
18.71,20.085,8283967,19.03,2020-03-06,-0.04611528822055133,0.7803033705764368,18.92
19.8,21.5,4653121,19.95,2020-03-05,-0.10658307210031348,-0.1308958581437778,21.29
