low,high,volume,close,time,percentChange,percentVol,open
118.0400,121.8000,1692662,119.5600,2020-04-13,-0.015967078189300432,-0.6964493804932024,121.6300
120.1672,122.9200,5576210,121.5000,2020-04-09,0.01852628049291627,0.08150195103284785,120.4800
115.0742,119.9600,5155987,119.2900,2020-04-08,0.03784583260831753,-0.0780471860073102,116.3100
114.8700,119.5700,5592463,114.9400,2020-04-07,0.0010451140916216684,-0.20408493213578338,118.8000
110.1300,115.6300,7026457,114.8200,2020-04-06,0.07974421666353204,0.5483212956574681,110.3500
104.9200,110.0700,4538113,106.3400,2020-04-03,-0.03327272727272723,-0.2827997926524368,108.9200
105.1400,110.3200,6327540,110.0000,2020-04-02,0.04622408217614615,0.0352836847521798,105.3700
105.26,109.92,1819114,107.332,2020-04-01,-0.03243486883620317,-0.7115059871046976,106.36
110.17,113.81,6305552,110.93,2020-03-31,-0.01771008589391654,0.13358217823241736,112.0
107.81,113.46,5562501,112.93,2020-03-30,0.04535777098954008,-0.1337651659199529,108.09
107.6450,111.5000,6421470,108.0300,2020-03-27,-0.04305075737443531,-0.10228592078857734,108.5800
105.57,113.15,7153135,112.89,2020-03-26,0.06650921114785069,-0.17271869022548514,106.91
102.83,112.4779,8646557,105.85,2020-03-25,0.0035077739855895462,0.08519186301609194,105.48
99.2600,106.0400,7967768,105.4800,2020-03-24,0.11301044634377977,-0.18015286560762545,99.9900
90.56,97.74,9718602,94.77,2020-03-23,-0.006499633085229162,-0.07821249556468224,94.6
94.7100,100.9900,10543213,95.3900,2020-03-20,-0.04933227028104448,0.2564466219393575,100.9200
98.235,103.69,8391294,100.34,2020-03-19,-0.03099951714147753,-0.041213465182905695,102.33
99.4000,106.9345,8751994,103.5500,2020-03-18,-0.029067041725269638,-0.015246918115677244,99.4100
97.1,107.395,8887501,106.65,2020-03-17,0.07640290674202665,-0.1587027657211575,100.61
95.0000,107.4100,10564044,99.0800,2020-03-16,-0.08216767021769344,-0.15443130499345292,98.0000
100.81,109.16,12493419,107.95,2020-03-13,0.049995136659857886,0.0006001958204939761,108.68
