open,close,time,high,low,volume
229.5300,228.7400,2020-03-20 16:00:00,229.7900,228.7100,1335159
228.0800,229.5600,2020-03-20 15:59:00,229.7800,228.0000,936781
229.4650,228.0200,2020-03-20 15:58:00,229.7000,228.0000,918150
229.8300,229.4650,2020-03-20 15:57:00,231.1900,229.2500,799901
230.0000,229.8300,2020-03-20 15:56:00,232.2400,229.6900,788927
230.1700,230.1000,2020-03-20 15:55:00,231.4100,228.5100,1091975
231.0000,230.0600,2020-03-20 15:54:00,231.1300,230.0000,677488
230.5400,230.7811,2020-03-20 15:53:00,231.5200,230.2000,467797
229.2500,230.5400,2020-03-20 15:52:00,232.0000,229.2300,725307
232.3300,229.2400,2020-03-20 15:51:00,232.3650,228.1900,1564572
234.0600,232.2950,2020-03-20 15:50:00,234.0600,232.2000,490693
234.6700,234.0200,2020-03-20 15:49:00,234.9000,233.9800,387739
234.6085,234.6300,2020-03-20 15:48:00,237.0000,234.4750,479225
235.3350,234.6050,2020-03-20 15:47:00,235.5700,234.4500,672015
235.8800,235.3400,2020-03-20 15:46:00,236.2000,235.2200,389995
235.4800,235.9100,2020-03-20 15:45:00,236.3600,235.4000,294714
236.2100,235.4800,2020-03-20 15:44:00,236.3900,235.4100,326785
235.5817,236.1948,2020-03-20 15:43:00,237.1200,235.5500,440173
235.5000,235.6297,2020-03-20 15:42:00,236.5100,235.2600,351906
235.3400,235.5000,2020-03-20 15:41:00,236.8300,235.0000,592784
235.3919,235.2700,2020-03-20 15:40:00,236.1300,235.2600,400885
236.1200,235.4094,2020-03-20 15:39:00,236.3500,235.3500,456562
237.6843,236.1500,2020-03-20 15:38:00,237.7600,235.9500,471483
238.4500,237.7000,2020-03-20 15:37:00,238.5900,237.6300,410827
239.7600,238.4800,2020-03-20 15:36:00,239.7800,238.3400,322907
239.1300,239.7600,2020-03-20 15:35:00,240.2500,238.9100,265133
239.3700,239.1200,2020-03-20 15:34:00,239.7899,238.9700,316291
239.6806,239.4099,2020-03-20 15:33:00,240.0000,239.2000,300459
241.4000,239.7000,2020-03-20 15:32:00,241.4100,239.4900,309659
241.8000,241.3600,2020-03-20 15:31:00,242.6200,241.1000,254502
241.6200,241.7500,2020-03-20 15:30:00,242.8000,241.2542,256133
241.4968,241.6200,2020-03-20 15:29:00,241.8500,241.2780,138603
242.0000,241.4900,2020-03-20 15:28:00,242.0300,241.0400,172076
240.8200,241.9896,2020-03-20 15:27:00,242.4000,240.7500,284243
240.1700,240.8100,2020-03-20 15:26:00,241.1400,240.0000,213250
240.3000,240.1200,2020-03-20 15:25:00,240.5399,240.0500,126559
240.3900,240.3000,2020-03-20 15:24:00,240.5500,240.1300,83758
240.5300,240.4400,2020-03-20 15:23:00,240.7700,240.0000,141230
240.4900,240.5600,2020-03-20 15:22:00,241.1600,240.4900,147678
240.1300,240.5200,2020-03-20 15:21:00,240.9600,240.0200,149996
240.3100,240.1300,2020-03-20 15:20:00,240.4200,240.0000,335178
240.6400,240.3500,2020-03-20 15:19:00,240.8400,240.1000,149751
