open,close,time,high,low,volume
1846.3400,1846.2100,2020-03-20 16:00:00,1848.8200,1841.6500,130627
1843.7800,1847.3600,2020-03-20 15:59:00,1849.0000,1843.5350,74864
1847.1550,1843.0699,2020-03-20 15:58:00,1847.5800,1840.1793,53862
1843.4000,1846.6550,2020-03-20 15:57:00,1849.7500,1840.0000,56119
1852.4301,1843.0000,2020-03-20 15:56:00,1852.6200,1841.6602,64340
1831.1400,1853.0000,2020-03-20 15:55:00,1853.0000,1831.0500,63267
1829.6550,1830.6700,2020-03-20 15:54:00,1833.0200,1828.5800,33723
1831.1100,1830.6500,2020-03-20 15:53:00,1833.9900,1829.0800,36274
1823.0000,1830.8950,2020-03-20 15:52:00,1834.2400,1823.0000,43256
1821.0000,1822.3300,2020-03-20 15:51:00,1824.0100,1820.7300,48876
1826.4000,1821.4200,2020-03-20 15:50:00,1826.9943,1821.4200,42221
1827.2100,1826.4000,2020-03-20 15:49:00,1828.2100,1825.3000,37862
1827.7750,1827.6050,2020-03-20 15:48:00,1830.8800,1827.2600,19722
1828.5353,1827.0900,2020-03-20 15:47:00,1828.9399,1827.0500,13361
1830.1500,1828.3600,2020-03-20 15:46:00,1831.9000,1827.0000,22501
1831.2850,1830.4301,2020-03-20 15:45:00,1833.2100,1830.2400,11546
1833.9200,1830.6333,2020-03-20 15:44:00,1834.9500,1830.0000,25971
1832.7200,1833.5400,2020-03-20 15:43:00,1838.0000,1830.2800,23685
1831.7600,1830.8800,2020-03-20 15:42:00,1836.8600,1830.3700,16728
1835.1300,1832.0000,2020-03-20 15:41:00,1838.0000,1832.0000,18547
1833.8317,1836.5350,2020-03-20 15:40:00,1837.2300,1833.0900,12279
1836.3000,1833.0350,2020-03-20 15:39:00,1837.8300,1830.6700,19924
1838.7100,1836.5898,2020-03-20 15:38:00,1838.7100,1835.1801,15106
1841.5500,1838.4000,2020-03-20 15:37:00,1843.5410,1837.6000,16286
1848.8000,1840.6200,2020-03-20 15:36:00,1848.8000,1840.6200,19259
1842.0800,1848.9800,2020-03-20 15:35:00,1849.0000,1841.9449,20544
1842.1250,1842.5699,2020-03-20 15:34:00,1844.3500,1841.2900,13806
1837.9050,1842.4000,2020-03-20 15:33:00,1845.2257,1837.4800,17085
