open,close,time,high,low,volume
35.7300,35.6000,2020-03-20 16:00:00,35.8000,35.5400,811856
35.5400,35.7400,2020-03-20 15:59:00,35.8500,35.5400,420070
35.6900,35.5350,2020-03-20 15:58:00,35.6900,35.5100,325930
35.6200,35.6900,2020-03-20 15:57:00,35.8300,35.5600,282792
35.8050,35.6200,2020-03-20 15:56:00,35.8200,35.5700,247107
35.4150,35.8100,2020-03-20 15:55:00,35.9300,35.4150,407116
35.5800,35.5200,2020-03-20 15:54:00,35.6500,35.4900,246551
35.6150,35.6200,2020-03-20 15:53:00,35.8050,35.5850,181451
35.5200,35.6100,2020-03-20 15:52:00,35.8200,35.4800,268383
35.8300,35.5187,2020-03-20 15:51:00,35.8350,35.4200,577243
36.0200,35.8200,2020-03-20 15:50:00,36.0350,35.8200,220291
36.1400,36.0400,2020-03-20 15:49:00,36.1750,35.9800,159401
36.1300,36.1400,2020-03-20 15:48:00,36.2700,36.1100,168626
36.0500,36.1300,2020-03-20 15:47:00,36.1600,36.0400,114880
36.1150,36.0450,2020-03-20 15:46:00,36.1700,36.0200,108948
36.1650,36.1100,2020-03-20 15:45:00,36.2100,36.0950,78551
36.1800,36.1600,2020-03-20 15:44:00,36.2600,36.1200,99170
36.0100,36.1700,2020-03-20 15:43:00,36.3300,36.0100,165304
36.0450,36.0100,2020-03-20 15:42:00,36.1000,35.9700,115882
35.9910,36.0500,2020-03-20 15:41:00,36.0900,35.9600,99950
35.9028,35.9950,2020-03-20 15:40:00,36.0600,35.9028,131925
36.0400,35.9000,2020-03-20 15:39:00,36.0500,35.8847,108822
36.0700,36.0300,2020-03-20 15:38:00,36.1000,35.9500,99818
36.0900,36.0650,2020-03-20 15:37:00,36.1900,36.0400,105932
36.1600,36.0763,2020-03-20 15:36:00,36.1600,36.0200,98473
35.9400,36.1700,2020-03-20 15:35:00,36.1800,35.9400,86951
36.0500,35.9400,2020-03-20 15:34:00,36.1300,35.8700,70878
35.9200,36.0500,2020-03-20 15:33:00,36.1400,35.8900,71594
