open,close,time,high,low,volume
11.6600,11.6500,2020-03-20 16:00:00,11.7600,11.6300,82053
11.6600,11.6700,2020-03-20 15:59:00,11.7800,11.6000,109152
11.6700,11.6600,2020-03-20 15:58:00,11.7300,11.6100,66311
11.7200,11.6750,2020-03-20 15:57:00,11.7700,11.6700,110947
11.7600,11.7200,2020-03-20 15:56:00,11.9500,11.7200,49349
11.5600,11.7400,2020-03-20 15:55:00,11.7800,11.5400,53132
11.6450,11.5800,2020-03-20 15:54:00,11.7300,11.5500,61996
11.7600,11.6400,2020-03-20 15:53:00,11.8600,11.6400,44572
11.7600,11.7800,2020-03-20 15:52:00,11.8300,11.7400,46789
11.8700,11.7700,2020-03-20 15:51:00,11.8700,11.7100,59035
11.8700,11.8700,2020-03-20 15:50:00,11.9500,11.8100,40238
11.9600,11.8850,2020-03-20 15:49:00,11.9700,11.8200,30298
11.9600,11.9600,2020-03-20 15:48:00,12.0200,11.9500,23885
11.9900,11.9450,2020-03-20 15:47:00,12.0000,11.9200,31016
11.8800,11.9900,2020-03-20 15:46:00,12.0400,11.8600,39020
11.7900,11.8500,2020-03-20 15:45:00,11.9200,11.7900,23912
11.6650,11.7900,2020-03-20 15:44:00,11.8000,11.6650,36487
11.7600,11.6600,2020-03-20 15:43:00,11.8200,11.6600,43192
11.7950,11.7600,2020-03-20 15:42:00,11.8300,11.6800,41309
11.8100,11.7950,2020-03-20 15:41:00,11.8900,11.7900,23076
11.8400,11.8150,2020-03-20 15:40:00,11.8700,11.8100,17652
12.0000,11.8800,2020-03-20 15:39:00,12.0000,11.8100,24125
12.1700,12.0050,2020-03-20 15:38:00,12.1700,11.9900,25685
12.1800,12.1750,2020-03-20 15:37:00,12.1906,12.1500,35802
12.2200,12.1800,2020-03-20 15:36:00,12.2250,12.1500,21896
12.1350,12.2300,2020-03-20 15:35:00,12.2450,12.1200,16937
12.1300,12.1500,2020-03-20 15:34:00,12.2200,12.1200,10220
12.1200,12.1700,2020-03-20 15:33:00,12.2300,12.1000,16481
12.1800,12.1600,2020-03-20 15:32:00,12.2199,12.0900,29005
12.1300,12.2150,2020-03-20 15:31:00,12.3250,12.1200,13471
12.0550,12.1300,2020-03-20 15:30:00,12.1900,12.0550,113986
12.0350,12.0600,2020-03-20 15:29:00,12.1400,12.0200,15529
12.0800,12.0200,2020-03-20 15:28:00,12.0800,12.0000,10122
12.0600,12.0900,2020-03-20 15:27:00,12.1400,12.0600,13860
11.9300,12.0400,2020-03-20 15:26:00,12.0700,11.9100,14141
11.9700,11.9500,2020-03-20 15:25:00,11.9900,11.9400,13654
11.9200,11.9800,2020-03-20 15:24:00,11.9900,11.9200,8246
11.9200,11.9500,2020-03-20 15:23:00,11.9700,11.9150,8493
11.9245,11.9050,2020-03-20 15:22:00,11.9900,11.8900,6210
11.8100,11.9250,2020-03-20 15:21:00,11.9250,11.8000,13548
