open,close,time,high,low,volume
149.9500,149.7400,2020-03-20 16:00:00,150.1100,149.1600,600495
149.5900,149.9400,2020-03-20 15:59:00,150.2500,149.5500,211354
150.0896,149.5900,2020-03-20 15:58:00,150.1900,149.4310,174270
149.3000,150.2000,2020-03-20 15:57:00,150.7300,149.1200,164758
150.0600,149.3000,2020-03-20 15:56:00,150.0600,149.3000,138774
149.0250,151.2250,2020-03-20 15:55:00,151.2700,149.0250,188297
148.9200,148.8800,2020-03-20 15:54:00,149.2000,148.8100,117946
148.7000,148.8000,2020-03-20 15:53:00,149.6800,148.6200,100166
148.9100,148.7000,2020-03-20 15:52:00,149.1300,148.4750,121068
149.0000,148.8750,2020-03-20 15:51:00,149.0800,148.0000,240945
149.8000,149.0000,2020-03-20 15:50:00,149.8000,149.0000,125131
150.0000,149.8000,2020-03-20 15:49:00,150.1100,149.6700,90332
149.8600,150.0000,2020-03-20 15:48:00,150.4000,149.8300,74507
149.8700,149.8600,2020-03-20 15:47:00,150.1300,149.8000,62669
149.8950,149.8700,2020-03-20 15:46:00,150.1300,149.6682,68049
150.1000,149.8950,2020-03-20 15:45:00,150.3400,149.7900,51259
149.9699,150.1400,2020-03-20 15:44:00,150.3300,149.8701,85685
149.5200,149.9300,2020-03-20 15:43:00,150.3300,149.5200,72035
149.2900,149.5900,2020-03-20 15:42:00,149.9300,149.2199,69054
149.4900,149.2000,2020-03-20 15:41:00,149.9900,148.0000,156221
149.5700,149.4800,2020-03-20 15:40:00,149.8300,149.4000,89912
150.1000,149.6000,2020-03-20 15:39:00,150.1250,149.5300,81229
150.2200,150.1226,2020-03-20 15:38:00,150.3100,149.9800,71418
150.5750,150.2350,2020-03-20 15:37:00,150.6000,150.0700,56827
150.9400,150.5300,2020-03-20 15:36:00,151.4400,150.5100,82190
150.4100,150.9400,2020-03-20 15:35:00,150.9900,150.3700,57563
150.4350,150.3700,2020-03-20 15:34:00,150.7500,150.1400,58668
150.5000,150.5600,2020-03-20 15:33:00,150.8400,150.2800,54084
151.3000,150.5200,2020-03-20 15:32:00,151.3800,150.3600,66099
151.2700,151.3200,2020-03-20 15:31:00,151.9200,151.0900,64279
151.1250,151.2250,2020-03-20 15:30:00,151.7700,151.0000,80495
150.5350,151.0900,2020-03-20 15:29:00,151.2700,150.5100,64804
150.6900,150.5300,2020-03-20 15:28:00,150.6900,150.2900,60984
150.4350,150.7600,2020-03-20 15:27:00,151.0900,150.4000,70680
150.0400,150.4400,2020-03-20 15:26:00,150.6300,149.9800,48914
150.3068,150.0326,2020-03-20 15:25:00,150.3495,149.9700,59821
150.1620,150.2600,2020-03-20 15:24:00,150.3000,149.9800,145723
150.4600,150.2100,2020-03-20 15:23:00,150.5600,150.1706,54899
150.3850,150.4606,2020-03-20 15:22:00,150.7000,150.3500,65606
150.1700,150.3790,2020-03-20 15:21:00,150.5275,150.1200,42499
150.3000,150.1828,2020-03-20 15:20:00,150.4100,150.1500,80125
150.4500,150.3100,2020-03-20 15:19:00,150.6600,150.3000,39241
151.0100,150.4800,2020-03-20 15:18:00,151.0100,150.3600,41854
151.1600,150.9700,2020-03-20 15:17:00,151.1600,150.8000,67673
151.0100,151.1600,2020-03-20 15:16:00,151.4199,150.8800,47341
