open,close,time,high,low,volume
1066.4900,1067.9000,2020-03-20 16:00:00,1070.4600,1064.4400,72747
1065.5000,1066.3800,2020-03-20 15:59:00,1069.1300,1062.4301,50650
1067.8700,1065.0400,2020-03-20 15:58:00,1068.8873,1063.0000,35678
1064.2400,1068.4200,2020-03-20 15:57:00,1069.7000,1064.0649,39485
1071.4000,1064.2500,2020-03-20 15:56:00,1071.5150,1064.1200,32317
1064.2200,1071.7600,2020-03-20 15:55:00,1073.3300,1064.1450,38223
1065.7120,1065.1000,2020-03-20 15:54:00,1066.9301,1064.8000,34952
1066.3700,1063.6100,2020-03-20 15:53:00,1066.4399,1062.1000,24374
1065.4900,1066.5900,2020-03-20 15:52:00,1067.9600,1064.4700,24531
1078.3300,1064.3101,2020-03-20 15:51:00,1078.3300,1063.3101,42675
1078.6050,1078.6899,2020-03-20 15:50:00,1080.0500,1077.9700,33971
1079.5300,1078.5699,2020-03-20 15:49:00,1079.7960,1078.0000,21818
1079.4200,1080.1700,2020-03-20 15:48:00,1081.5000,1078.6899,17272
1079.7100,1079.1899,2020-03-20 15:47:00,1080.1801,1078.6801,11564
1079.5500,1079.7800,2020-03-20 15:46:00,1082.4100,1078.4800,11313
1081.1600,1079.9200,2020-03-20 15:45:00,1081.9800,1079.0000,8033
1082.5300,1081.0300,2020-03-20 15:44:00,1083.6899,1079.9100,9987
1080.6818,1082.4399,2020-03-20 15:43:00,1085.4200,1080.6818,18851
1079.8101,1080.3140,2020-03-20 15:42:00,1082.3832,1079.6100,10246
1079.2935,1080.6100,2020-03-20 15:41:00,1081.8700,1079.0000,17192
1079.2700,1079.9800,2020-03-20 15:40:00,1080.9100,1078.6899,19511
1079.9500,1079.0006,2020-03-20 15:39:00,1081.6910,1078.2900,16340
1079.1000,1080.8400,2020-03-20 15:38:00,1081.7700,1078.0950,18325
1081.1000,1080.0100,2020-03-20 15:37:00,1082.8600,1079.0797,14024
1082.0200,1081.5100,2020-03-20 15:36:00,1084.9900,1081.5100,7648
1081.1100,1082.0300,2020-03-20 15:35:00,1086.2200,1081.1100,6523
1085.3789,1081.0000,2020-03-20 15:34:00,1086.4500,1080.1200,10063
1082.6200,1084.8900,2020-03-20 15:33:00,1086.3750,1080.7300,9282
1085.6500,1082.6200,2020-03-20 15:32:00,1088.8700,1081.7700,10459
1087.8750,1085.6600,2020-03-20 15:31:00,1090.0000,1085.6600,13299
1085.9000,1087.2900,2020-03-20 15:30:00,1089.7600,1085.5950,7995
1083.5150,1084.2700,2020-03-20 15:29:00,1086.3700,1082.1300,4761
1085.7200,1083.6600,2020-03-20 15:28:00,1086.1400,1081.7100,6728
1085.0000,1086.2050,2020-03-20 15:27:00,1086.8800,1084.0300,3863
1079.9100,1083.1450,2020-03-20 15:26:00,1084.5150,1079.0200,8681
1081.1600,1079.0000,2020-03-20 15:25:00,1081.1600,1079.0000,4677
1079.4301,1079.8306,2020-03-20 15:24:00,1081.5100,1079.0000,6358
1080.8750,1080.0200,2020-03-20 15:23:00,1080.8800,1079.0000,5349
1081.8000,1080.1200,2020-03-20 15:22:00,1082.3700,1079.9100,10475
1080.0900,1080.9800,2020-03-20 15:21:00,1082.9100,1080.0900,4066
1079.0200,1079.6700,2020-03-20 15:20:00,1081.3400,1078.9000,16272
1080.5800,1079.8300,2020-03-20 15:19:00,1081.0300,1079.0000,4368
1079.8900,1079.7000,2020-03-20 15:18:00,1080.4625,1078.2400,6930
1083.1200,1078.0801,2020-03-20 15:17:00,1083.2900,1078.0801,5055
1084.6750,1083.8500,2020-03-20 15:16:00,1085.5310,1082.9600,2804
1085.6700,1086.9250,2020-03-20 15:15:00,1086.9678,1084.5400,3338
1086.7700,1085.6750,2020-03-20 15:14:00,1086.7800,1083.0400,6553
1085.5100,1087.7750,2020-03-20 15:13:00,1088.6100,1084.3600,7435
