open,close,time,high,low,volume
8.6600,8.6300,2020-03-20 16:00:00,8.6800,8.6200,444413
8.6350,8.6600,2020-03-20 15:59:00,8.7000,8.6200,264400
8.6900,8.6350,2020-03-20 15:58:00,8.6900,8.6250,190903
8.6600,8.6850,2020-03-20 15:57:00,8.7600,8.6350,274346
8.7600,8.6600,2020-03-20 15:56:00,8.7700,8.6600,192363
8.7350,8.7600,2020-03-20 15:55:00,8.7900,8.7350,110457
8.7100,8.7300,2020-03-20 15:54:00,8.7450,8.7100,76834
8.7650,8.7050,2020-03-20 15:53:00,8.7800,8.6850,109133
8.7800,8.7650,2020-03-20 15:52:00,8.8000,8.7500,77970
8.8400,8.7700,2020-03-20 15:51:00,8.8400,8.7500,144662
8.8750,8.8400,2020-03-20 15:50:00,8.8900,8.8300,101428
8.8900,8.8700,2020-03-20 15:49:00,8.9000,8.8700,65180
8.9050,8.8900,2020-03-20 15:48:00,8.9300,8.8800,69015
8.9100,8.9000,2020-03-20 15:47:00,8.9100,8.8900,56097
8.9050,8.9000,2020-03-20 15:46:00,8.9500,8.8950,67959
8.9200,8.9050,2020-03-20 15:45:00,8.9200,8.8900,50369
8.9250,8.9150,2020-03-20 15:44:00,8.9400,8.8900,49442
8.9000,8.9300,2020-03-20 15:43:00,8.9700,8.9000,90449
8.9100,8.9050,2020-03-20 15:42:00,8.9300,8.8900,68324
8.9200,8.9100,2020-03-20 15:41:00,8.9300,8.9100,69552
8.9300,8.9200,2020-03-20 15:40:00,8.9400,8.9000,64244
8.9400,8.9300,2020-03-20 15:39:00,8.9450,8.9100,47987
8.9250,8.9450,2020-03-20 15:38:00,8.9500,8.9100,76937
8.9200,8.9300,2020-03-20 15:37:00,8.9600,8.9150,63570
8.9600,8.9200,2020-03-20 15:36:00,8.9650,8.9100,53729
8.9450,8.9600,2020-03-20 15:35:00,8.9750,8.9450,27000
8.9600,8.9500,2020-03-20 15:34:00,8.9700,8.9400,35624
8.9500,8.9600,2020-03-20 15:33:00,8.9800,8.9500,29475
9.0100,8.9450,2020-03-20 15:32:00,9.0100,8.9300,41533
9.0000,9.0100,2020-03-20 15:31:00,9.0450,8.9800,88921
8.9900,9.0100,2020-03-20 15:30:00,9.0400,8.9800,38598
8.9700,8.9900,2020-03-20 15:29:00,8.9950,8.9600,21920
8.9700,8.9700,2020-03-20 15:28:00,8.9700,8.9400,25409
8.9200,8.9600,2020-03-20 15:27:00,8.9800,8.9180,58172
8.8800,8.9200,2020-03-20 15:26:00,8.9300,8.8700,73761
8.9000,8.8800,2020-03-20 15:25:00,8.9100,8.8800,55898
8.9000,8.9000,2020-03-20 15:24:00,8.9200,8.8900,13581
8.8950,8.9100,2020-03-20 15:23:00,8.9150,8.8850,16314
