open,close,time,high,low,volume
13.8600,14.0000,2020-03-20 16:00:00,14.0200,13.8600,410295
13.8200,13.8700,2020-03-20 15:59:00,13.8950,13.8000,257972
13.9200,13.8200,2020-03-20 15:58:00,13.9200,13.7550,164488
13.7950,13.9250,2020-03-20 15:57:00,13.9700,13.7800,192016
13.8600,13.7950,2020-03-20 15:56:00,13.8800,13.7800,188673
13.8300,13.8500,2020-03-20 15:55:00,13.8850,13.8100,117332
13.8400,13.8300,2020-03-20 15:54:00,13.8500,13.8000,103274
13.8600,13.8300,2020-03-20 15:53:00,13.9200,13.8200,86836
13.8100,13.8650,2020-03-20 15:52:00,13.9200,13.8000,93096
13.8700,13.8150,2020-03-20 15:51:00,13.9000,13.8000,106306
13.9200,13.8600,2020-03-20 15:50:00,13.9200,13.8350,60691
13.9700,13.9300,2020-03-20 15:49:00,13.9750,13.9250,40930
13.9400,13.9650,2020-03-20 15:48:00,13.9950,13.9350,51384
13.9062,13.9350,2020-03-20 15:47:00,13.9350,13.8750,30261
13.9400,13.9000,2020-03-20 15:46:00,13.9650,13.8950,43699
14.0200,13.9400,2020-03-20 15:45:00,14.0300,13.9400,25205
14.0700,14.0200,2020-03-20 15:44:00,14.0900,14.0100,35712
13.9800,14.0700,2020-03-20 15:43:00,14.1100,13.9800,72272
14.0300,13.9800,2020-03-20 15:42:00,14.0550,13.9800,51064
14.0000,14.0250,2020-03-20 15:41:00,14.0350,13.9900,34957
13.9900,14.0000,2020-03-20 15:40:00,14.0200,13.9800,47781
13.9800,13.9900,2020-03-20 15:39:00,14.0400,13.9650,87449
13.9500,13.9900,2020-03-20 15:38:00,14.0400,13.9300,64484
13.9750,13.9500,2020-03-20 15:37:00,13.9800,13.9500,33461
14.0500,13.9750,2020-03-20 15:36:00,14.0600,13.9700,40471
13.9500,14.0500,2020-03-20 15:35:00,14.0500,13.9500,70562
13.9500,13.9500,2020-03-20 15:34:00,13.9700,13.9400,27057
13.9200,13.9600,2020-03-20 15:33:00,13.9800,13.9100,35239
14.0150,13.9100,2020-03-20 15:32:00,14.0150,13.9000,71013
