open,close,time,high,low,volume
95.3800,95.4000,2020-03-20 16:00:00,95.6800,95.3000,147198
95.1950,95.4500,2020-03-20 15:59:00,95.7400,95.1950,119255
95.4200,95.1938,2020-03-20 15:58:00,95.4200,95.1400,89855
95.5500,95.4450,2020-03-20 15:57:00,95.8600,95.3200,77746
95.6000,95.5400,2020-03-20 15:56:00,95.6600,95.5000,64509
95.3100,95.6200,2020-03-20 15:55:00,95.7200,95.2700,57435
95.4000,95.3150,2020-03-20 15:54:00,95.4512,95.2700,40136
95.4700,95.3950,2020-03-20 15:53:00,95.6600,95.3200,48216
95.8100,95.4912,2020-03-20 15:52:00,95.8300,95.3500,65941
95.5900,95.8350,2020-03-20 15:51:00,95.9900,95.5100,89127
96.0000,95.5900,2020-03-20 15:50:00,96.0300,95.5700,61659
95.9900,95.9600,2020-03-20 15:49:00,96.0500,95.8700,29217
96.0400,95.9800,2020-03-20 15:48:00,96.2700,95.9100,35260
95.9800,96.0100,2020-03-20 15:47:00,96.1900,95.9000,34627
95.9800,95.9800,2020-03-20 15:46:00,96.1200,95.8700,33563
95.8700,95.9650,2020-03-20 15:45:00,95.9900,95.8600,23648
95.9600,95.8900,2020-03-20 15:44:00,95.9900,95.7100,24922
95.7200,95.9354,2020-03-20 15:43:00,96.2200,95.7100,47028
95.7450,95.7500,2020-03-20 15:42:00,95.9100,95.5550,36952
95.8100,95.7350,2020-03-20 15:41:00,95.8843,95.6501,32488
95.8700,95.8300,2020-03-20 15:40:00,96.0400,95.8150,17644
96.1400,95.8700,2020-03-20 15:39:00,96.1400,95.7600,29364
96.1300,96.0700,2020-03-20 15:38:00,96.2300,95.9100,19030
96.2700,96.0900,2020-03-20 15:37:00,96.3646,96.0900,18750
96.6400,96.2600,2020-03-20 15:36:00,96.6400,96.2300,16121
96.2750,96.6200,2020-03-20 15:35:00,96.6200,96.2700,23759
96.2400,96.3174,2020-03-20 15:34:00,96.4300,96.1050,18847
