open,close,time,high,low,volume
45.8100,45.7900,2020-03-20 16:00:00,46.0800,45.7000,910447
45.4750,45.8200,2020-03-20 15:59:00,45.9400,45.4700,466144
45.7800,45.4700,2020-03-20 15:58:00,45.7800,45.4700,376429
45.7100,45.7900,2020-03-20 15:57:00,46.0000,45.6050,308245
46.0300,45.7200,2020-03-20 15:56:00,46.1200,45.6800,305933
45.6500,46.0600,2020-03-20 15:55:00,46.1500,45.6113,354069
45.8600,45.6400,2020-03-20 15:54:00,46.0000,45.6100,225289
46.0500,45.8700,2020-03-20 15:53:00,46.0900,45.8100,245023
45.5200,46.0500,2020-03-20 15:52:00,46.2200,45.5140,429515
46.3800,45.5020,2020-03-20 15:51:00,46.3900,45.5000,682516
46.6038,46.4000,2020-03-20 15:50:00,46.6200,46.3600,127172
46.7900,46.6000,2020-03-20 15:49:00,46.8450,46.5700,86541
46.8100,46.8050,2020-03-20 15:48:00,46.9800,46.7422,117155
46.7300,46.8100,2020-03-20 15:47:00,46.8500,46.7200,86785
46.8001,46.7295,2020-03-20 15:46:00,46.8400,46.6700,102982
46.8300,46.8000,2020-03-20 15:45:00,46.9500,46.8000,76188
46.9100,46.8300,2020-03-20 15:44:00,46.9600,46.7700,81307
46.5800,46.9000,2020-03-20 15:43:00,47.0100,46.5800,139280
46.7200,46.5800,2020-03-20 15:42:00,46.8100,46.5100,102974
46.7499,46.7110,2020-03-20 15:41:00,46.8600,46.6800,73519
46.6000,46.7498,2020-03-20 15:40:00,46.7498,46.5900,82483
46.7800,46.5900,2020-03-20 15:39:00,46.7800,46.5500,70590
46.8600,46.7700,2020-03-20 15:38:00,46.8700,46.6700,74088
46.9900,46.8600,2020-03-20 15:37:00,47.0600,46.8400,78664
47.2300,46.9800,2020-03-20 15:36:00,47.2300,46.9500,78013
47.3200,47.2300,2020-03-20 15:35:00,47.3300,47.1300,112768
47.3500,47.3200,2020-03-20 15:34:00,47.4600,47.2410,82261
47.2850,47.3400,2020-03-20 15:33:00,47.5000,47.2500,84658
