volume,high,time,close,open,low
122222,156.4300,2020-03-10 09:50:00,156.3000,155.9377,155.8900
101541,156.2100,2020-03-10 09:49:00,155.9436,156.0700,155.8900
106152,156.3500,2020-03-10 09:48:00,156.0500,156.3400,156.0200
135723,156.7100,2020-03-10 09:47:00,156.2850,156.2900,156.1000
163205,156.2800,2020-03-10 09:46:00,156.2800,156.2800,156.2800
116924,156.4399,2020-03-10 09:45:00,156.2100,156.1000,156.0500
120433,156.1300,2020-03-10 09:44:00,156.0900,155.8800,155.6100
160553,156.1500,2020-03-10 09:43:00,155.7900,155.9000,155.6700
115256,155.8900,2020-03-10 09:42:00,155.8900,155.6800,155.4750
195891,156.0300,2020-03-10 09:41:00,155.6200,155.9850,155.3800
152063,156.2100,2020-03-10 09:40:00,155.9800,155.8350,155.6600
173402,155.9900,2020-03-10 09:39:00,155.8600,155.7700,155.5400
165114,156.0000,2020-03-10 09:38:00,155.7300,155.7200,155.5100
250210,156.3500,2020-03-10 09:37:00,155.6961,156.2249,155.4700
0,157.3000,2020-03-10 09:36:00,156.2300,157.1300,156.2300
67353,157.3300,2020-03-10 09:35:00,157.3300,157.3300,157.3300
204453,156.9700,2020-03-10 09:34:00,156.9700,156.9700,156.9700
343404,156.8800,2020-03-10 09:33:00,156.6700,156.4000,155.9100
235554,157.4200,2020-03-10 09:32:00,156.3999,157.3395,156.1700
2081849,158.3000,2020-03-10 09:31:00,157.3600,158.1600,157.0000
1411253,152.1100,2020-03-09 16:00:00,150.6300,151.0200,150.5900
692107,151.5100,2020-03-09 15:59:00,151.0199,151.3427,151.0000
586998,151.5000,2020-03-09 15:58:00,151.3400,151.4800,151.0000
497754,152.5000,2020-03-09 15:57:00,151.4800,152.4900,151.4500
511156,153.6200,2020-03-09 15:56:00,152.5000,153.2900,152.4580
473076,154.0000,2020-03-09 15:55:00,153.2900,153.0500,152.8800
230494,154.0500,2020-03-09 15:54:00,153.0300,153.8900,152.9328
277293,154.0700,2020-03-09 15:53:00,153.8550,153.6800,153.3600
328530,153.9000,2020-03-09 15:52:00,153.7200,153.0100,152.9300
449324,153.9600,2020-03-09 15:51:00,153.0000,153.9500,152.3000
225641,154.5000,2020-03-09 15:50:00,154.0300,154.4000,153.9000
188262,154.6000,2020-03-09 15:49:00,154.4029,154.0300,153.8200
162780,154.3800,2020-03-09 15:48:00,154.0400,154.3400,153.9400
241943,154.4900,2020-03-09 15:47:00,154.3558,153.6850,153.6200
258992,154.3700,2020-03-09 15:46:00,153.6800,154.3200,153.5000
145771,154.6600,2020-03-09 15:45:00,154.2700,154.2800,154.2500
153320,154.3400,2020-03-09 15:44:00,154.3000,154.3127,154.0700
157501,154.5200,2020-03-09 15:43:00,154.3100,154.4600,154.0400
260505,154.8400,2020-03-09 15:42:00,154.4700,154.7500,154.3100
169606,154.8400,2020-03-09 15:41:00,154.7500,154.5700,154.2500
140361,154.7300,2020-03-09 15:40:00,154.5517,154.6000,154.2400
146428,154.9400,2020-03-09 15:39:00,154.6000,154.7800,154.5901
162312,154.8300,2020-03-09 15:38:00,154.7800,154.4400,154.3700
204584,154.5800,2020-03-09 15:37:00,154.4700,154.0800,154.0000
165070,154.0700,2020-03-09 15:36:00,154.0199,153.4100,153.3800
154597,153.6100,2020-03-09 15:35:00,153.3900,153.3700,153.2150
139271,153.4900,2020-03-09 15:34:00,153.3700,153.1700,152.9700
175805,153.4900,2020-03-09 15:33:00,153.1550,153.4000,152.9800
145890,153.7600,2020-03-09 15:32:00,153.4400,153.1600,153.1500
135886,153.7442,2020-03-09 15:31:00,153.1500,153.7300,153.0000
158315,154.6300,2020-03-09 15:30:00,153.7309,154.6050,153.5100
161752,154.8900,2020-03-09 15:29:00,154.6400,154.4650,154.3200
152374,154.6200,2020-03-09 15:28:00,154.4700,154.3500,154.1200
147445,154.9000,2020-03-09 15:27:00,154.3300,154.6400,154.3300
185140,154.7400,2020-03-09 15:26:00,154.6100,153.9300,153.9100
113923,154.2516,2020-03-09 15:25:00,153.9300,153.6600,153.6200
96299,153.9900,2020-03-09 15:24:00,153.6600,153.6300,153.5300
133433,154.0365,2020-03-09 15:23:00,153.6700,153.0660,153.0500
99115,153.2600,2020-03-09 15:22:00,153.0700,152.7605,152.7605
138714,153.0800,2020-03-09 15:21:00,152.7800,152.9021,152.7000
100254,153.5400,2020-03-09 15:20:00,152.8900,153.5400,152.8400
163919,153.7100,2020-03-09 15:19:00,153.5300,153.2300,153.1600
117534,153.5776,2020-03-09 15:18:00,153.2400,153.0800,153.0400
87510,153.0800,2020-03-09 15:17:00,153.0800,152.5900,152.5790
97830,153.0900,2020-03-09 15:16:00,152.5700,152.3750,152.2600
102862,152.6900,2020-03-09 15:15:00,152.3900,152.4400,152.3400
114530,152.9500,2020-03-09 15:14:00,152.4450,152.8800,152.2500
90263,153.0277,2020-03-09 15:13:00,152.8900,152.7150,152.6500
117046,153.1400,2020-03-09 15:12:00,152.7300,153.0300,152.6000
