open,close,time,high,low,volume
45.7900,45.7000,2020-03-20 16:00:00,45.8500,45.5900,383148
46.2000,45.8000,2020-03-20 15:59:00,46.2600,45.7300,217807
46.4800,46.1900,2020-03-20 15:58:00,46.7000,46.0100,288684
46.3694,46.5494,2020-03-20 15:57:00,46.9776,46.3517,290936
45.8700,46.4000,2020-03-20 15:56:00,46.5400,45.7200,266071
45.7850,45.8800,2020-03-20 15:55:00,45.9100,45.6800,176115
45.6500,45.7100,2020-03-20 15:54:00,45.7300,45.6300,130062
45.3600,45.5908,2020-03-20 15:53:00,45.6800,45.3500,129449
45.3900,45.3800,2020-03-20 15:52:00,45.4300,45.2300,179197
45.2900,45.3850,2020-03-20 15:51:00,45.4400,45.0700,152969
45.3800,45.2800,2020-03-20 15:50:00,45.3800,45.2100,152882
45.4750,45.4050,2020-03-20 15:49:00,45.5800,45.3800,132512
45.4700,45.4701,2020-03-20 15:48:00,45.5700,45.4000,104385
45.5500,45.4750,2020-03-20 15:47:00,45.5950,45.4200,113033
45.3400,45.5450,2020-03-20 15:46:00,45.6000,45.3300,165718
45.4400,45.3350,2020-03-20 15:45:00,45.4555,45.3200,54022
45.4200,45.4300,2020-03-20 15:44:00,45.4500,45.3200,59764
45.2900,45.4100,2020-03-20 15:43:00,45.5600,45.2900,90584
45.2800,45.2900,2020-03-20 15:42:00,45.3700,45.1801,68680
45.3550,45.2500,2020-03-20 15:41:00,45.4200,45.2100,100798
45.3500,45.3460,2020-03-20 15:40:00,45.4200,45.3000,41375
45.6300,45.3400,2020-03-20 15:39:00,45.6599,45.3100,118741
45.6400,45.6600,2020-03-20 15:38:00,45.6800,45.5800,70813
45.8100,45.6700,2020-03-20 15:37:00,45.8200,45.6400,50686
45.9200,45.7800,2020-03-20 15:36:00,45.9225,45.7700,56853
45.7800,45.9200,2020-03-20 15:35:00,45.9500,45.7700,66206
45.7700,45.7950,2020-03-20 15:34:00,45.8700,45.7200,52800
45.6200,45.7500,2020-03-20 15:33:00,45.9000,45.5700,47229
45.9200,45.6200,2020-03-20 15:32:00,45.9300,45.5850,62924
45.7400,45.9200,2020-03-20 15:31:00,46.0700,45.7400,49005
45.7100,45.7300,2020-03-20 15:30:00,45.9800,45.6300,48205
45.6400,45.6950,2020-03-20 15:29:00,45.7600,45.6128,31691
45.5800,45.6100,2020-03-20 15:28:00,45.6100,45.4450,37989
45.4000,45.5800,2020-03-20 15:27:00,45.6600,45.3900,43266
45.1300,45.3650,2020-03-20 15:26:00,45.4000,45.1300,60543
45.1430,45.1100,2020-03-20 15:25:00,45.1500,45.0160,39455
45.0800,45.1200,2020-03-20 15:24:00,45.1600,45.0300,41107
45.0600,45.1000,2020-03-20 15:23:00,45.1500,45.0000,52124
45.0600,45.0600,2020-03-20 15:22:00,45.1500,45.0500,33762
44.9800,45.0600,2020-03-20 15:21:00,45.1700,44.9800,34944
45.0250,45.0000,2020-03-20 15:20:00,45.0250,44.8900,35935
45.1800,45.0400,2020-03-20 15:19:00,45.1900,45.0100,34785
45.1300,45.1800,2020-03-20 15:18:00,45.1800,45.0600,37130
45.2900,45.1100,2020-03-20 15:17:00,45.2950,45.0700,45651
45.3000,45.2900,2020-03-20 15:16:00,45.3780,45.2500,29965
45.2600,45.2500,2020-03-20 15:15:00,45.3900,45.1600,33332
45.3800,45.2650,2020-03-20 15:14:00,45.3800,45.2114,37573
45.3200,45.3700,2020-03-20 15:13:00,45.4000,45.2200,47416
45.3000,45.3212,2020-03-20 15:12:00,45.3688,45.2100,26355
45.2700,45.2800,2020-03-20 15:11:00,45.3000,45.0500,48467
45.4000,45.2790,2020-03-20 15:10:00,45.4400,45.2400,33106
45.2300,45.3800,2020-03-20 15:09:00,45.5400,45.2300,28369
45.2800,45.2150,2020-03-20 15:08:00,45.3600,45.1400,31461
45.0645,45.2800,2020-03-20 15:07:00,45.2900,45.0400,27863
45.0600,45.1000,2020-03-20 15:06:00,45.1600,45.0100,30416
45.1650,45.0600,2020-03-20 15:05:00,45.1830,45.0500,26515
45.2400,45.1800,2020-03-20 15:04:00,45.2600,45.0091,43055
45.2500,45.2300,2020-03-20 15:03:00,45.3000,45.0800,33019
45.0000,45.2094,2020-03-20 15:02:00,45.2700,44.9900,54320
45.0100,45.0000,2020-03-20 15:01:00,45.0900,44.9200,31283
44.9200,44.9900,2020-03-20 15:00:00,45.0800,44.8700,32423
44.9000,44.9100,2020-03-20 14:59:00,44.9210,44.7201,35190
44.9500,44.9050,2020-03-20 14:58:00,44.9800,44.8800,12184
44.9900,44.9500,2020-03-20 14:57:00,45.0600,44.9300,40637
45.0600,45.0000,2020-03-20 14:56:00,45.1700,44.9900,43627
45.1870,45.0600,2020-03-20 14:55:00,45.1870,45.0200,31481
45.3800,45.1400,2020-03-20 14:54:00,45.3800,45.1400,44152
45.5700,45.3600,2020-03-20 14:53:00,45.6300,45.3378,76635
45.6200,45.5700,2020-03-20 14:52:00,45.6500,45.5400,24028
45.5900,45.5700,2020-03-20 14:51:00,45.6600,45.5600,23374
45.4800,45.6000,2020-03-20 14:50:00,45.6400,45.4800,26605
45.4750,45.5100,2020-03-20 14:49:00,45.6600,45.4500,26072
45.6300,45.4750,2020-03-20 14:48:00,45.6300,45.4750,27876
45.6600,45.6100,2020-03-20 14:47:00,45.7200,45.6000,43008
45.6100,45.6600,2020-03-20 14:46:00,45.7200,45.6100,63420
45.5450,45.6000,2020-03-20 14:45:00,45.6400,45.5400,12636
45.5700,45.5400,2020-03-20 14:44:00,45.6200,45.4900,21763
45.5900,45.5500,2020-03-20 14:43:00,45.6434,45.5500,39184
45.4800,45.6000,2020-03-20 14:42:00,45.6000,45.4500,16229
45.6800,45.4300,2020-03-20 14:41:00,45.7300,45.4300,25799
45.5400,45.6750,2020-03-20 14:40:00,45.6800,45.4500,15248
45.6100,45.5600,2020-03-20 14:39:00,45.6100,45.5300,22999
45.5650,45.6100,2020-03-20 14:38:00,45.6250,45.5100,23845
45.6100,45.5400,2020-03-20 14:37:00,45.7200,45.5300,18644
45.5250,45.5800,2020-03-20 14:36:00,45.6299,45.5200,26093
45.6500,45.5200,2020-03-20 14:35:00,45.6600,45.5000,23170
45.6500,45.6800,2020-03-20 14:34:00,45.6800,45.5100,28825
45.7100,45.6550,2020-03-20 14:33:00,45.7200,45.5800,27845
45.6800,45.7100,2020-03-20 14:32:00,45.7250,45.6330,35465
45.5600,45.6800,2020-03-20 14:31:00,45.7600,45.5300,19460
45.4600,45.5350,2020-03-20 14:30:00,45.5900,45.4000,22836
45.4123,45.4700,2020-03-20 14:29:00,45.4800,45.3321,19182
45.5300,45.4150,2020-03-20 14:28:00,45.5600,45.3900,41556
45.5400,45.5200,2020-03-20 14:27:00,45.5400,45.3779,21765
45.6900,45.5400,2020-03-20 14:26:00,45.7350,45.5100,24131
45.7900,45.6800,2020-03-20 14:25:00,45.7900,45.6600,26723
45.8400,45.7600,2020-03-20 14:24:00,45.8700,45.7600,16088
45.8850,45.8300,2020-03-20 14:23:00,45.8900,45.8200,12956
45.9200,45.8900,2020-03-20 14:22:00,46.0000,45.8500,30345
45.8700,45.9200,2020-03-20 14:21:00,45.9800,45.8600,19366
45.7600,45.8650,2020-03-20 14:20:00,45.8967,45.7500,24297
45.7800,45.7500,2020-03-20 14:19:00,45.8550,45.7305,23573
45.9800,45.7700,2020-03-20 14:18:00,45.9800,45.7400,25152
45.9300,45.9950,2020-03-20 14:17:00,46.0100,45.8700,41000
46.0300,45.9500,2020-03-20 14:16:00,46.0400,45.8800,40889
46.0850,46.0500,2020-03-20 14:15:00,46.1407,46.0500,30717
46.1700,46.0900,2020-03-20 14:14:00,46.2200,46.0900,27404
46.2800,46.1700,2020-03-20 14:13:00,46.2800,46.1400,16331
46.4200,46.2900,2020-03-20 14:12:00,46.4500,46.2300,26016
46.4600,46.4100,2020-03-20 14:11:00,46.5100,46.3800,26869
46.4900,46.4500,2020-03-20 14:10:00,46.4900,46.4000,20562
46.4500,46.4900,2020-03-20 14:09:00,46.5400,46.4400,25961
46.4500,46.4500,2020-03-20 14:08:00,46.5000,46.3700,33121
46.4800,46.4400,2020-03-20 14:07:00,46.5000,46.3700,36934
46.0600,46.4600,2020-03-20 14:06:00,46.4600,46.0500,31988
45.9400,46.0700,2020-03-20 14:05:00,46.0926,45.9400,20285
46.0800,45.9400,2020-03-20 14:04:00,46.0800,45.9400,16930
46.0500,46.0850,2020-03-20 14:03:00,46.1000,45.9850,58805
45.9400,46.0650,2020-03-20 14:02:00,46.0700,45.9000,47912
45.9500,45.9600,2020-03-20 14:01:00,45.9900,45.8900,31767
45.8400,45.9650,2020-03-20 14:00:00,45.9650,45.8250,25611
45.7800,45.8300,2020-03-20 13:59:00,45.8600,45.7600,15885
45.7500,45.7700,2020-03-20 13:58:00,45.8000,45.6700,14053
45.7200,45.7600,2020-03-20 13:57:00,45.8100,45.6900,15183
45.6500,45.7200,2020-03-20 13:56:00,45.7400,45.5900,12211
45.6800,45.6300,2020-03-20 13:55:00,45.7500,45.6000,15719
45.5800,45.6800,2020-03-20 13:54:00,45.7100,45.5800,21252
45.5400,45.5600,2020-03-20 13:53:00,45.5700,45.4800,16733
45.6600,45.5517,2020-03-20 13:52:00,45.6630,45.5300,30442
45.6000,45.6600,2020-03-20 13:51:00,45.8000,45.6000,22537
45.8636,45.6400,2020-03-20 13:50:00,45.8700,45.6400,61222
45.9300,45.8600,2020-03-20 13:49:00,46.0050,45.8600,50626
46.0700,45.9300,2020-03-20 13:48:00,46.0700,45.8400,23791
46.0100,46.0800,2020-03-20 13:47:00,46.1100,45.9900,20063
45.9900,46.0300,2020-03-20 13:46:00,46.1000,45.9742,20701
45.9800,45.9800,2020-03-20 13:45:00,46.1000,45.9700,21708
45.9300,45.9862,2020-03-20 13:44:00,46.0350,45.8800,18246
45.9100,45.9400,2020-03-20 13:43:00,46.0200,45.8000,39400
46.0500,45.9000,2020-03-20 13:42:00,46.0600,45.8650,18679
46.1600,46.0583,2020-03-20 13:41:00,46.1600,45.9900,86734
