open,close,time,high,low,volume
276.8400,278.7200,2020-03-20 16:00:00,279.7000,276.7000,105402
276.5550,276.7750,2020-03-20 15:59:00,277.3700,276.3900,42133
277.1400,276.6400,2020-03-20 15:58:00,277.6100,276.3800,24287
275.6950,277.1900,2020-03-20 15:57:00,277.6100,275.5800,31580
278.4000,275.7000,2020-03-20 15:56:00,278.4200,275.6300,32302
278.3200,278.1700,2020-03-20 15:55:00,279.2000,278.1700,22719
278.3700,277.6500,2020-03-20 15:54:00,278.9100,277.3700,17880
277.0900,279.7100,2020-03-20 15:53:00,280.0000,276.6850,21896
274.9800,277.1200,2020-03-20 15:52:00,277.8200,274.6400,28736
274.9200,274.7800,2020-03-20 15:51:00,275.6500,273.7800,32449
275.4400,274.6550,2020-03-20 15:50:00,275.4400,273.9500,15053
275.6700,275.1450,2020-03-20 15:49:00,275.9300,275.1000,10461
274.8800,275.4400,2020-03-20 15:48:00,275.7699,274.8800,11679
276.1000,275.2200,2020-03-20 15:47:00,276.1000,274.8900,5634
276.6400,275.8400,2020-03-20 15:46:00,276.8400,275.8000,8990
277.1483,276.7100,2020-03-20 15:45:00,277.4000,276.7100,9531
277.4700,277.3300,2020-03-20 15:44:00,277.4700,276.6900,5429
277.0300,277.2650,2020-03-20 15:43:00,278.0800,276.7400,11754
276.6500,276.5734,2020-03-20 15:42:00,277.6799,276.1700,9015
275.8633,276.4400,2020-03-20 15:41:00,276.9200,275.8633,8262
275.8600,275.6200,2020-03-20 15:40:00,276.2500,275.3200,6402
276.7700,275.5500,2020-03-20 15:39:00,276.9250,275.5500,8468
276.9600,276.9650,2020-03-20 15:38:00,277.4000,276.5400,9786
277.7300,277.0300,2020-03-20 15:37:00,278.4700,277.0300,7570
279.0000,278.3300,2020-03-20 15:36:00,279.0933,278.0600,13326
276.3200,278.4700,2020-03-20 15:35:00,278.8300,276.3200,10559
277.2600,275.8700,2020-03-20 15:34:00,277.3000,275.6500,7782
275.4850,277.0400,2020-03-20 15:33:00,277.6500,275.4000,5853
277.7903,275.3000,2020-03-20 15:32:00,278.1700,275.3000,6896
277.1700,277.8200,2020-03-20 15:31:00,278.4500,277.1400,9168
275.9850,276.9250,2020-03-20 15:30:00,277.6250,275.9850,7946
274.9650,275.9100,2020-03-20 15:29:00,275.9100,274.9650,3994
274.4750,275.2200,2020-03-20 15:28:00,275.2200,274.1000,6183
273.8300,274.7300,2020-03-20 15:27:00,274.7850,273.8300,7764
273.1400,273.9437,2020-03-20 15:26:00,274.4700,273.1400,9729
273.6400,273.1500,2020-03-20 15:25:00,273.6700,273.1500,9129
274.1700,273.5900,2020-03-20 15:24:00,274.2350,273.3150,7725
274.0600,274.4200,2020-03-20 15:23:00,274.4200,274.0550,4273
274.9900,274.2200,2020-03-20 15:22:00,275.2500,274.0500,13188
274.0500,274.9850,2020-03-20 15:21:00,275.2300,274.0500,9253
274.1200,274.1650,2020-03-20 15:20:00,274.4000,273.2300,9851
275.0500,273.9100,2020-03-20 15:19:00,275.0500,273.9100,7500
274.5101,275.0000,2020-03-20 15:18:00,275.2200,274.5101,4765
275.4900,274.9100,2020-03-20 15:17:00,275.5850,274.6900,4308
275.5400,275.7500,2020-03-20 15:16:00,276.2013,275.2600,4104
275.3000,275.5840,2020-03-20 15:15:00,275.5840,275.2000,4657
275.9550,275.2600,2020-03-20 15:14:00,275.9550,274.8700,5130
276.0600,276.3600,2020-03-20 15:13:00,276.3600,275.1700,6424
275.3150,275.9800,2020-03-20 15:12:00,275.9800,274.9300,5228
275.0200,275.0300,2020-03-20 15:11:00,275.0300,274.0900,6109
276.1100,274.7900,2020-03-20 15:10:00,276.1100,274.7000,5514
276.0400,275.5811,2020-03-20 15:09:00,276.7800,275.5811,3694
276.4500,275.2500,2020-03-20 15:08:00,277.0200,275.2500,3896
275.2650,276.1550,2020-03-20 15:07:00,276.1550,275.2650,4240
275.3800,275.0301,2020-03-20 15:06:00,275.8200,274.5900,8687
275.2700,275.5850,2020-03-20 15:05:00,275.8700,275.2700,1479
275.9700,275.5600,2020-03-20 15:04:00,275.9700,275.0100,2411
277.6750,276.1300,2020-03-20 15:03:00,278.3100,276.1300,5941
276.7300,277.9800,2020-03-20 15:02:00,277.9800,276.0300,4521
276.7950,276.4300,2020-03-20 15:01:00,276.7950,275.5100,5960
276.4500,276.6100,2020-03-20 15:00:00,276.9300,276.1200,5049
275.0000,276.0750,2020-03-20 14:59:00,276.4400,274.6600,9219
275.2500,275.1900,2020-03-20 14:58:00,275.6800,274.8600,8048
275.9400,275.5600,2020-03-20 14:57:00,276.3900,275.5100,4326
276.5000,275.9450,2020-03-20 14:56:00,276.9700,275.8600,6176
277.6300,276.6250,2020-03-20 14:55:00,277.6300,276.6200,2448
278.7700,277.6700,2020-03-20 14:54:00,278.8700,277.6700,1793
279.5700,279.1600,2020-03-20 14:53:00,280.6613,279.1600,11248
279.4450,279.5850,2020-03-20 14:52:00,280.2000,279.1800,3802
278.6700,279.4550,2020-03-20 14:51:00,279.6200,278.6700,2383
277.3300,278.6100,2020-03-20 14:50:00,278.6700,277.3300,4153
277.1500,277.4800,2020-03-20 14:49:00,277.6300,276.8000,5791
278.6400,277.3000,2020-03-20 14:48:00,278.6400,277.0700,2808
278.4900,278.7500,2020-03-20 14:47:00,279.2300,278.4900,3094
278.0800,278.5760,2020-03-20 14:46:00,278.5950,278.0800,1681
277.1200,277.8100,2020-03-20 14:45:00,277.8100,276.9450,2430
277.1600,277.0900,2020-03-20 14:44:00,277.1600,276.4600,4484
277.1100,277.2500,2020-03-20 14:43:00,277.2500,276.9000,2541
276.8500,276.7800,2020-03-20 14:42:00,277.1600,276.5500,1524
277.2000,276.4800,2020-03-20 14:41:00,277.8200,276.2463,4809
277.1655,277.0427,2020-03-20 14:40:00,277.2700,276.1203,5606
277.0250,276.8896,2020-03-20 14:39:00,277.4700,276.8896,668
277.7300,277.0250,2020-03-20 14:38:00,277.9500,277.0250,3188
277.2300,277.8000,2020-03-20 14:37:00,277.8500,277.2000,3111
278.0450,277.3055,2020-03-20 14:36:00,278.0450,277.3055,1501
279.2499,277.8100,2020-03-20 14:35:00,279.2499,277.8100,3001
279.0050,278.6100,2020-03-20 14:34:00,279.0050,277.9500,8085
279.0800,279.0050,2020-03-20 14:33:00,279.0800,278.3200,2578
278.6600,278.7850,2020-03-20 14:32:00,279.2200,278.3850,4229
