,open,high,low,close,volume,time
0,319.9800,320.0800,319.8200,320.0400,348443,2020-02-07 16:00:00
1,319.9400,320.0000,319.8100,319.9550,164694,2020-02-07 15:59:00
2,319.7800,320.0000,319.7800,319.9215,151966,2020-02-07 15:58:00
3,319.9100,319.9500,319.7700,319.7958,145883,2020-02-07 15:57:00
4,319.7500,320.0000,319.6700,319.9200,219886,2020-02-07 15:56:00
5,319.5300,319.8100,319.4600,319.7659,239055,2020-02-07 15:55:00
6,319.6500,319.7100,319.5200,319.5300,85590,2020-02-07 15:54:00
7,319.7000,319.8000,319.6200,319.6338,64788,2020-02-07 15:53:00
8,319.6400,319.8900,319.4700,319.7200,100076,2020-02-07 15:52:00
9,319.6800,319.8985,319.5800,319.6183,146111,2020-02-07 15:51:00
10,319.5600,319.6945,319.4700,319.6500,83832,2020-02-07 15:50:00
11,319.7202,319.7599,319.5100,319.5699,69536,2020-02-07 15:49:00
12,319.6900,319.7900,319.5100,319.7100,83326,2020-02-07 15:48:00
13,319.5700,319.8600,319.5450,319.6943,101531,2020-02-07 15:47:00
14,319.6350,319.7200,319.4522,319.5763,57974,2020-02-07 15:46:00
15,319.6591,319.8000,319.5300,319.6281,78812,2020-02-07 15:45:00
16,319.7448,319.8800,319.6100,319.6500,106168,2020-02-07 15:44:00
17,319.5100,319.8100,319.4100,319.7400,122040,2020-02-07 15:43:00
18,319.1700,319.7600,319.1500,319.5100,159810,2020-02-07 15:42:00
19,319.0300,319.2300,318.9700,319.1500,55253,2020-02-07 15:41:00
20,319.0060,319.1700,318.9300,319.0300,59888,2020-02-07 15:40:00
21,319.1800,319.1800,318.9000,319.0131,55163,2020-02-07 15:39:00
22,319.1863,319.2400,318.9200,319.2100,93361,2020-02-07 15:38:00
23,319.2500,319.2500,319.1500,319.1900,48651,2020-02-07 15:37:00
24,319.2800,319.3700,319.0900,319.2800,46734,2020-02-07 15:36:00
25,319.0585,319.4600,319.0585,319.2800,174932,2020-02-07 15:35:00
26,318.8800,319.1700,318.8464,319.0500,83763,2020-02-07 15:34:00
27,318.6930,319.0000,318.5700,318.9000,81427,2020-02-07 15:33:00
28,318.5762,318.7500,318.5500,318.7200,103618,2020-02-07 15:32:00
29,318.3100,318.5900,318.1200,318.5900,87855,2020-02-07 15:31:00
30,318.4300,318.4500,318.2340,318.3025,93404,2020-02-07 15:30:00
31,318.6300,318.6600,318.4500,318.4507,79234,2020-02-07 15:29:00
32,318.6852,318.7000,318.5450,318.6335,53432,2020-02-07 15:28:00
