volume,time,open,close,high,low
283450,2020-02-14 16:00:00,324.83,324.95,324.97,324.69
149813,2020-02-14 15:59:00,324.8,324.82,324.96,324.76
147054,2020-02-14 15:58:00,324.98,324.8,324.99,324.77
113817,2020-02-14 15:57:00,324.91,324.97,325.0,324.85
148127,2020-02-14 15:56:00,324.97,324.89,324.99,324.78
245288,2020-02-14 15:55:00,324.52,324.97,324.99,324.51
89159,2020-02-14 15:54:00,324.4,324.5132,324.54,324.33
62199,2020-02-14 15:53:00,324.33,324.38,324.47,324.29
73580,2020-02-14 15:52:00,324.45,324.32,324.49,324.26
113291,2020-02-14 15:51:00,324.49,324.4201,324.55,324.36
68086,2020-02-14 15:50:00,324.47,324.46,324.5,324.3769
84789,2020-02-14 15:49:00,324.425,324.45,324.49,324.37
43494,2020-02-14 15:48:00,324.4,324.4298,324.45,324.3398
41074,2020-02-14 15:47:00,324.37,324.34,324.45,324.29
86499,2020-02-14 15:46:00,324.18,324.37,324.45,324.18
37347,2020-02-14 15:45:00,324.04,324.16,324.19,324.04
22978,2020-02-14 15:44:00,324.0,324.02,324.09,324.0
21580,2020-02-14 15:43:00,324.02,323.9998,324.04,323.95
41659,2020-02-14 15:42:00,324.1,324.0198,324.12,323.94
23619,2020-02-14 15:41:00,324.11,324.1125,324.13,324.055
22182,2020-02-14 15:40:00,324.13,324.12,324.15,324.08
28459,2020-02-14 15:39:00,324.09,324.13,324.16,324.05
35134,2020-02-14 15:38:00,324.09,324.09,324.16,323.9732
52855,2020-02-14 15:37:00,323.95,324.1099,324.1398,323.91
30759,2020-02-14 15:36:00,323.81,323.9398,323.97,323.81
38959,2020-02-14 15:35:00,323.77,323.82,323.85,323.71
35603,2020-02-14 15:34:00,323.68,323.76,323.82,323.68
28333,2020-02-14 15:33:00,323.78,323.68,323.79,323.66
25524,2020-02-14 15:32:00,323.7597,323.7816,323.84,323.71
29403,2020-02-14 15:31:00,323.72,323.73,323.75,323.6127
32638,2020-02-14 15:30:00,323.79,323.75,323.79,323.66
48937,2020-02-14 15:29:00,323.96,323.77,323.96,323.69
24503,2020-02-14 15:28:00,323.88,323.9663,324.0,323.88
19782,2020-02-14 15:27:00,323.83,323.89,323.9314,323.815
16473,2020-02-14 15:26:00,323.84,323.8482,323.896,323.78
30170,2020-02-14 15:25:00,323.86,323.86,323.9,323.73
23783,2020-02-14 15:24:00,323.8778,323.8694,323.96,323.85
97615,2020-02-14 15:23:00,323.85,323.86,324.01,323.7604
31754,2020-02-14 15:22:00,323.8,323.82,323.9003,323.79
39292,2020-02-14 15:21:00,323.92,323.8,323.97,323.8
58540,2020-02-14 15:20:00,324.0355,323.93,324.09,323.93
20209,2020-02-14 15:19:00,324.0199,324.0331,324.095,324.0
28812,2020-02-14 15:18:00,324.08,324.01,324.09,324.0
25424,2020-02-14 15:17:00,324.0464,324.08,324.13,324.0
38532,2020-02-14 15:16:00,324.09,324.0487,324.145,324.045
29543,2020-02-14 15:15:00,324.0517,324.0662,324.13,324.0001
24206,2020-02-14 15:14:00,324.09,324.04,324.1973,324.01
61232,2020-02-14 15:13:00,324.22,324.07,324.225,323.99
35635,2020-02-14 15:12:00,324.4,324.2018,324.51,324.2018
23496,2020-02-14 15:11:00,324.365,324.41,324.41,324.22
24825,2020-02-14 15:10:00,324.45,324.35,324.46,324.2993
20664,2020-02-14 15:09:00,324.4398,324.46,324.51,324.395
20720,2020-02-14 15:08:00,324.32,324.445,324.445,324.26
28101,2020-02-14 15:07:00,324.28,324.33,324.39,324.21
11943,2020-02-14 15:06:00,324.25,324.2347,324.34,324.22
21726,2020-02-14 15:05:00,324.28,324.21,324.37,324.2
19582,2020-02-14 15:04:00,324.41,324.27,324.44,324.27
