close,low,open,volume,high,time
282.9600,282.5800,282.7600,416324,283.1500,2020-04-24 16:00:00
282.7500,282.6385,282.8750,173663,282.8800,2020-04-24 15:59:00
282.8700,282.5000,282.6000,158951,282.9000,2020-04-24 15:58:00
282.6000,282.5000,282.5128,115409,282.7600,2020-04-24 15:57:00
282.5400,282.4300,282.7300,110808,282.7500,2020-04-24 15:56:00
282.7250,282.1200,282.1700,172598,282.7500,2020-04-24 15:55:00
282.1302,281.9850,282.1700,99047,282.2400,2020-04-24 15:54:00
282.1600,281.8600,281.9200,108094,282.2000,2020-04-24 15:53:00
281.9133,281.8900,282.2500,119668,282.5480,2020-04-24 15:52:00
282.2750,282.0400,282.6300,279731,282.9000,2020-04-24 15:51:00
282.6200,282.2600,282.5300,128916,282.6664,2020-04-24 15:50:00
282.5400,282.4700,282.6700,94295,282.7200,2020-04-24 15:49:00
282.6700,282.5850,282.6000,85741,282.7000,2020-04-24 15:48:00
282.6085,282.5991,282.7900,103060,282.8400,2020-04-24 15:47:00
282.7900,282.5500,282.6450,99289,282.7900,2020-04-24 15:46:00
282.6400,282.4650,282.6000,88501,282.6800,2020-04-24 15:45:00
282.6200,282.4500,282.4500,78404,282.6500,2020-04-24 15:44:00
282.4550,282.2900,282.2900,123377,282.6100,2020-04-24 15:43:00
282.3000,282.2350,282.2400,96644,282.4600,2020-04-24 15:42:00
282.2400,281.9500,281.9500,140998,282.3400,2020-04-24 15:41:00
281.9700,281.8400,281.8600,165076,282.1000,2020-04-24 15:40:00
281.8500,281.8300,281.9072,50304,281.9950,2020-04-24 15:39:00
281.9100,281.8300,281.8900,43916,281.9600,2020-04-24 15:38:00
281.8701,281.7500,281.9186,65289,281.9400,2020-04-24 15:37:00
281.9100,281.7500,281.7600,42930,281.9400,2020-04-24 15:36:00
281.7674,281.6200,281.7600,60752,281.8200,2020-04-24 15:35:00
281.7600,281.7200,281.7900,54688,281.9400,2020-04-24 15:34:00
281.7500,281.7000,281.9400,97277,282.0000,2020-04-24 15:33:00
281.9300,281.8600,281.8800,46015,281.9850,2020-04-24 15:32:00
281.8900,281.8200,281.9800,76007,282.0000,2020-04-24 15:31:00
281.9701,281.8100,281.9230,54208,281.9800,2020-04-24 15:30:00
281.9300,281.8400,281.8700,38748,281.9400,2020-04-24 15:29:00
281.8400,281.7474,281.7474,59318,281.9400,2020-04-24 15:28:00
281.7409,281.6900,281.8300,53590,281.9000,2020-04-24 15:27:00
